Citation Key/ Filename;GENERAL;;RQ1-DEFINITION;RQ2-DIGITAL TWIN ADVANTAGES;RQ2-APPLICATION DOMAINS;RQ2-APPLICATION SCENARIO;RQ3-PHYSICAL TWINS;;;RQ3-COMMUNICATION MANAGEMENT;;;RQ3-VIRTUAL TWIN AND APPLICATION;;;;RQ4-CHALLENGES & FUTURE RESEARCH;
Bitton2018;HIGH;In this paper we suggest a method for creating a digital twin that is network-specific, cost-efficient, highly reliable, and security test-oriented.;N/A;"In contrast to testbeds, which are generic, a digital twin is a replica of a specific ICS; i.e., a model that consists of all of the components from the original industrial environment";Industry;Security Evaluation, Pen Test;N/A;SCADA, ICS, network;network traffic;DIGITAL_EXPERT;DIGITAL_TWIN;Modbus, DNP3;GRASSMARLIN, OpenVAS, Zeus Scanner, Nmap;Simulation;Formalization on how to derivce cost-efficient twins for ICS;NO;"In future work we plan to evaluate the method on more realistic environments
from a diverse range of industries and propose a heuristic algorithm for finding a near-optimal solution (digital twin setup) with sub-exponential time complexity.
In addition, we plan to extend the solution to support different pricing strategies
for the various implementations, such as software bundles with contribution
margin-based pricing. We also plan to (1) add new types of constraints, e.g.,
constraints that take the physical space available within the digital twin that
will be implemented (e.g., a small room or an open space) into account; (2)
consider implementations of multiple elements as virtual or simulations on the
same machine; and (3) handle identical setups in an industrial environment
(e.g., if two similar production lines are implemented, there is no need to test
both of them). Finally, a general knowledge base of possible tests and their test
dependencies should be researched and established.";N/A
Bore2020;MEDIUM;This chapter discusses the threat arising from within the organisation, whether from negligence, malice, or exploitation by an external party. The trusted insider is one of the greatest challenges facing organisations today.;A synthetic behavioural model of a person or other entity used to predict behaviour, whether predicting drug interactions in medical research or purchasing patterns in online shopping.;Providing behaviour profiles for individuals in the form of a digital twin which can be subjected to much more thorough analysis than the individual otherwise would does have significant potential for improving the prediction of insider threat;Enterprise/ Organization;Insider Threat Detection;N/A;Human;Behavoural profiles for individuals (Social Networks etc.);N/A;N/A;N/A;N/A;Prediction;N/A;NO;N/A;N/A
Calo2018;LOW;In this paper, we discuss a set of scenarios for access control needed in current and future systems and use that to argue that an approach for resources to generate and manage their access control policies dynamically on their own is needed.;N/A;The devices can use such a model to determine whether or not they should allow access to any resource or service that is being requested of them.;Enterprise/ Organization;Device Model Control Approach;Embedded;IoT Device;States depending on sensor data (unsafe/safe);DIGITAL_PHYSICAL;DIGITAL_TWIN;N/A;N/A;Simulation;device state model;NO;N/A;"Defining the right “high-level guidance”:Access control policies
were introduced as the general approach for simplifying
the application of access control mechanisms to a divergent
Blue Sky Session: Next Generation Security
Services for Emerging Networks SACMAT’18, June 13-15, 2018, Indianapolis, IN, USA
45
set of use-cases. We need to define a similar concept for
“high level guidance” which will be applicable to various
scenarios and contexts in a general way. The semantics to
be used for high-level guidance needs to be defined. While
that semantics can be defined for each of the different generation
approaches discussed in Section 3, an open challenge
remains that of identifying the abstraction that will create
the concept of the “high level guidance” that will be applicable
to a broad set of use-case scenarios regardless of the
approach used to generate policies.
(2) Defining the right discovery process: Generating the right
access control policy requires each of the resources in the
environment to be aware of the other devices in the environment.
Given the lack of widely adopted standards for
discovery of resources, and the many security exposures
that may result from a flawed discovery process, new discovery
techniques that can provide sufficient security in many
dynamic contexts are needed.
(3) Determining the situational context: The definition of the
situational context, as well as its determination, remains
a hard and open research challenge. Access control needs
to account for not only the other resources that any given
resource interacts with, but also for the resources that may
indirectly use the information provided by that resource.
Understanding the situation on the ground in sufficient detail
to provide workable security is a challenge that can be solved
on a case-by-case basis, but a general formulation remains
an open challenge.
(4) Policy deconfliction without human guidance: When access
control policies are generated by the resources, they may
conflict among themselves, or with other policies that are
imposed on the system to meet other requirements, such
as performance, reliability or availability requirements. In
the presence of a human, such conflicts can be resolved and
deconflicted using the human provided input. Similar algorithms,
which can operate without a human in the loop, need
to be developed.
(5) Controlling emergent behavior: When resources create their
own policies, there is a danger of uncontrolled emergent
behavior [15]. Emergent behavior is behavior shown by a
collection of systems which was not originally designed but
happens due to the dynamic interactions among different intelligent
systems. Such emergent behavior can be controlled,
but the design needs to account for that. The control of
emergent behavior in complete generality remains an open
challenge, but there may be solutions that can be developed
for specific domain of access control.
(6) Learning-related challenges: The approach used by resources
to learn their access control policy has to use some type of
learning approach, which creates a generalization based on
its past experiences, but such learning mechanism has its
challenges. The set of experiences for access control in each
use-case has only a few small data points to draw from,
which means that either existing learning techniques that
use only a few data points need to be used, or new learning
techniques requiring small data for training needs to be actor may manipulate the data so as to force the device to
learn an invalid model which could lead to generation of
insecure access control policies. Solutions to such adversarial
learning in uncontrolled environments need to be developed.
(7) Increase in attack surface. The increase in complexity due
to autonomous generation of policies by devices can lead
to new types of security vulnerabilities and threats, e.g. the
adversarial learning example given above. This could lead to
challenges with established assurance processes in enterprise
and government networks, and the right way to provide
assurance for systems using dynamically generated access
control policies need to be developed.
(8) Power, computation and communication efficiency. While in
the past several years there have been tremendous advantages
in the computational capacity of small devices, devices
that need to learn and manage their own policies may find
themselves unable to use approaches that require specialized
hardware, or significant computational power, e.g. learning
mechanisms based on deep neural networks. For any solution
developed with dynamic access control policies, system
design should incorporate mechanisms that take into account
the limitations on a resource, which usually manifests
itself as limited amount of battery power, computational
capacity or the ability to communicate at high bandwidth
rates."
Campolo2020;LOW;In such a context, in this paper we elaborate on the role of technologies like multi-access edge computing (MEC), Internet of Things (IoT) messaging protocols, such as Constrained Application Protocol (CoAP) and Message Queue Telemetry Transport (MQTT), and virtualization (i.e., digital twins) in the design of a framework enabling the collection and processing of data about the mobility of commuters and public transport vehicles.;As a result, the digital twin enables data to be seamlessly transmitted between the physical and virtual worlds, hence ensuring real-time monitoring of systems, helpful for their maintenance and for future upgrades.;Digital Twin as Replication and provide sensitive views to stakeholders dependent on their right of PT vehicles;Mobility of commuters and public transport vehicles;Access Control Views;Mobile Edge;MaaS vehicles;e.g., smartphones of commuters, On Board Systems (OBSs) of PT vehicles;DIGITAL_PHYSICAL;DIGITAL_SHADOW;MQTT, COAP, LwM2m (Leshan), TCP, GPS;User Equipmment App, Mosquitto, Wireshark, DT applications hosted in MEC facilities can further access additional (context) information and provide accurate positioning via data fusion from multiple available sources, also improved by the ME LS.;Replication ;Data from ME (replication);YES;"Hence, as a future work we plan the deployment of the DT
application as a Docker container, as well as the evaluation
of its memory and CPU footprint when varying the available
processing resources and the number of commuters for a given
ME host to figure out potential scalability issues for the actual
deployment.";N/A
Castellani2021;HIGH;In this paper, we present novel weakly-supervised approaches to anomaly detection for industrial settings. The approaches make use of a Digital Twin to generate a training dataset which simulates the normal operation of the machinery, along with a small set of labeled anomalous measurement from the real machinery.;It is even possible to incorporate input data from actual measurements and to mirror the operational history of individual machines, which is known as Digital Twin systems first introduced in 2003 [9] (see also [10]). Depending on the effort spent to create the Digital Twin, it can be realistic simulation which captures the qualitatively correct behavior of the machinery, or an almost perfect digital copy whose output can be directly compared to the real-world machinery;or an almost perfect digital copy whose output can be directly compared to the real-world machinery. The former can be at least used to create a large dataset containing data samples of normal operation conditions which can be utilized in machine learning approaches.;Industry 4.0;Anomaly Detection;N/A;Heating, Ventilation and Air Conditioning (HVAC), Combined Heat and Power (CHP);Ambient Temperature (Ta), Produced Thermal Power (PTh), Produced Thermal Energy (ETh), Produced Electrical Power (PEl), Produced Electrical Energy (EEl), Water flux (Flux), Water flow temperature (TFlow), Water return temperature (TReturn), Flow/return temperature difference (TDiff);DIGITAL_PHYSICAL;DIGITAL_TWIN;N/A;PyOD, Keras, Tensorflow, SimulatinX, Modelica;a Partial Grid Search,Cluster Center (KNN), Siamese Autoencoder, Simuation;Green City Library ;NO;"The proposed algorithms are designed to easily incorporate
the expert-feedback therein. However, their evaluation is intentionally
left for future work.";N/A
Catarci2019;MEDIUM;We envision an architecture where humans can instead specify a goal and take advantage of technologies such as digital twins to automatically compose the corresponding physical processes, sharing some analogies with the notion of Web service composition.;"A crucial difference between traditional software artifacts used in composition techniques and DTs is that DTs may not share the same view of the world. Clearly, a DT itself consists of an information
model to describe its physical twin [11]. Specifically,
a DT can consist of different models and data, that take
into account the different phases of product life cycle. Modern information systems and industrial machines may natively come out indeed with their digital twin.";First, the virtual environment provides a simulation mode, in which the DTs run independently from the physical environment. Second, the replication mode records events such as network traffic from the physical environment and replicates them in the virtual setup.;Smart Manufacturing;Monitoring, Security Analysis, Intrusion Detecttion;Cloud;Factories, Machines everything;A device shadow is a JSON file that contains the state information, meta-data, timestamp, unique client token, and version of a device connected to the device shadow service.;DIGITAL_PHYSICAL;DIGITAL_TWIN;"MQTT, COAP, LwM2m (Leshan), TCP, GPS, AutomationML, Manufacturing Service Description Language, system models, functional, JSON, REST API
models, 3D geometric models, multiphysics models,
manufacturing models, and usage models.";Eclipse Ditto, GE Predix, Bosch IoT Things, Microsoft Azure IoT, IBM Watson IoT, AWS IoT, Experimentable DTs in virtuel testbeds,;Simulation;N/A;N/A;"How this confidence must be computed,
according to the quality of machine learning tasks
involved in DTs and in the mediator for entity resolution, is
a challenging ongoing research task.";N/A
Chhetri2018;MEDIUM;In this paper, we will present the various trends and advances in the security of the supply chain and  product lifecycle of the manufacturing system while highlighting the roles played by the major enabling components of Industry 4.0.;Digital twin is a virtual/digital representation of a physical entity or system.;Digital twin allows the analysis of data and monitoring of systems to forecast problems even before they occur [148], thus preventing downtime and providing better efficiency.;Indutry 4.0;"various vulnerabilities may be predicted along the product lifecycle and the supply chain. It helps to understand how a projected change
to a manufacturing process might impact the whole supply
chain of the product including the cost and time to delivery";N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
Choi2020;MEDIUM;In this paper, we introduce a vendor-agnostic analytics framework which allows security researchers to analyse attacks againstICS systems, even if the researchers have zero control automation domain knowledge or are faced with a myriad of heterogenous ICS systems.;N/A;digital twin’ systems mimicking real-world scenarios.;Industry 4.0;Security Testing and Evaluation;N/A;ICS ;The test digital twin system comprises of an HMI, two PLCs, two network switches, and a firewall – representativecomponents in most ICS scenarios.;DIGITAL_EXPERT;DIGITAL_SHADOW;N/A;InTouch software from Schneider Electric, An Allen-Bradley CompactLogix 5370-L3 simulates a conveyor belt and a Schneider Electric Modicon M580 is used as a wind farm digital twin providing electricity to the conveyor belt, To simulate the firewall, pfSense, an open-source firewall, was ported onto a commercial system board., ettercap, wireshark, kdiff3, Kali Linux;Simulation;N/A;N/A;"For future work, we will continue to conduct further research
on the countermeasures proposed earlier in this paper.
Based on the data produced by our framework, future research
on preventative measures would be feasible and aligns well
to the ultimate goal of our framework. As an extension of
our approach, we will conduct further experiments of our
framework on an ICS with a fake PLC or add meaningless
data fields to experiment control data integrity and resiliency.";N/A
Chukkapalli2021;MEDIUM;"Therefore in this paper, we present a smart fisheries ecosystem
where the architecture describes various interactions that happen
between internet connected devices. We develop a smart fisheries
ontology based on the architecture and implement Attribute Based
Access Control System (ABAC) where access to resources of smart
fisheries is granted by evaluating the requests";Digital Twin. The virtual replicas of the physical sensors deployed in the farm are represented as digital twins.;"They monitor the data generated from the physical sensors and notify the fish farm owners about a breakdown of a machinery in advance to reduce downtime by training machine learning models. Digital twins can
also be utilized for maintaining the data security and privacy which
is an added advantage. For example, unauthorized transmission
of data can be avoided with the help of digital twin whenever
a temporary worker tries to access previous data of the sensors
present in the fish farm.";Fish Farm;"Detection of unauthorized transmission (Access Control Context)
of data";Cloud;Fish Farm;"sensors present in the fish
farm via Internet.";DIGITAL_PHYSICAL;DIGITAL_SHADOW;N/A;N/A;Replication ;N/A;YES;N/A;N/A
Cioara2021;MEDIUM;In this paper, we will provide an overview of the DTs application domains in the smart grid while analyzing existing the state-of-the-art literature. We have focused on the following application domains: energy asset modeling, fault and security diagnosis, operational optimization, and business models.;N/A;By twining data with accurate DT models of energy assets, valuable insights or information can be extracted and integrated within many smart grids’ applications like operation maintenance, energy prediction, security and protection, errors detection, etc.;Smart Energy/ Grid;Fault Model (DTs for diagnosis of errors/faults and security issues), Predict potential failures, detect security issues, implement migiation actions, naalyzing potential threats;N/A;Smart Grid with GER;Model of the whole Grid;DIGITAL_PHYSICAL;DIGITAL_TWIN;N/A;N/A;Having a virtual model, one can apply data-driven analytics, run simulations, and what-if analyses to determine the asset behavior in real or hypothetical situations or to decide on control and optimization actions. CONCRETE: DT Model Simulation and Big Data Analytics and Machine Learning;The first step is the creation of the DT model based on the actual measurements done on the energy assets. The energy asset model is constructed by using physics or engineering models, statistics, etc. Augmented reality models can be used for improving the human understanding of the energy assets' operational states;YES;N/A;N/A
Cioroaica2019;LOW;"In this paper, we introduce a method and a test platform
that support virtual evaluation of decisions at runtime, thereby
supporting trust building within SES. The key idea behind the
platform is that it employs and evaluates Digital Twins, which
are executable models of system components, to learn about
component behavior in observed situations";"The notion of a Digital Twin (DT) has been
introduced by NASA [11] as a realistic digital representation
of a flying object used in lab-testing activities. Since then, the
notion of DT has also been adopted in the emerging Industry
4.0 [12] for representing the status of production devices and
to enable forecast of change impacts";"afe real-time evaluation during the runtime of smart
agents.";Smart Ecosystems;Detection of simulated environments, identification of malicious agents;N/A;Smart Agent CPS ECU;"The DT
shows a projection of the behavior of the smart agent’s
control algorithm in all situations";DIGITAL_PHYSICAL;DIGITAL_TWIN;N/A;N/A;linked precitve simulation vs pure predicitve simulation;"The DT is an executable
description of the algorithm that can be controlled in
a simulated environment.";N/A;"As future work, we would like to extend the monitoring
components so as to address not only the input/output communications
but also intermediate states.";N/A
CristinaFrancodaSilva2021;HIGH;"In this article, we
introduce a novel concept called Cyber Digital Twin (CDT), which transfers the idea of the DT to
automotive software for the purpose of security analysis. In our approach, the ECU software (i.e.,
firmware) is transformed into a CDT, which contains automatically extracted, security-relevant
information from the firmware.";"The Digital Twin (DT) is the idea to digitally
represent physical objects to simulate them before
they are built or to predict failures to enable
predictive maintenance. A CDT is
a digital representation of an automotive software
– © The Authors 1
arXiv:2102.00790v1 [cs.CR] 1 Feb 2021
Department Head
(i.e., firmware) and can provide many advantages
with respect to automating security evaluation of
firmwares.";"boxes. The CDT approach
presented in this article can automatically extract
important information from the firmware binaries
such as interfaces and data flow that is needed for
other activities such as security analysis. This extracted
information enables us to discover security
vulnerabilities in the firmware, and furthermore,
to check if security requirements of the firmware
are fulfilled.";Automotive;Security Analysis and Security Evaluatiopn and verfication of Security Requirements;N/A;Firmware ;binaries, IP email hashed passwords;DIGITAL_EXPERT;DIGITAL_SHADOW;N/A;N/A;Replication/ Transformation, Retracing Vulnerabilities to Requirements;Transformin Firmware to Digital Twin;YES;"n future work, we plan to extend our approach
to automatically generate test cases for
the CDT based on common cybersecurity requirements
of ECU software. From the software bill of
materials, we get a list of libraries used and the
deployed versions. We can use this information
to generate fuzz test cases in several ways. The
first and most straightforward way would be to
use specific protocol fuzzers for libraries that
use known protocols. Second, for the open-source
libraries, we can retrieve the interfaces and potentially mine input grammars from the repositories
directly. Third, for commercial libraries, the further
control and data flow analyses on the binaries
can be used for fuzzing. Fourth, we could build a
database of popular libraries, their interfaces and
interesting attach surfaces to fuzz corresponding
tests.";N/A
Damjanovicbehrendt2018ab;HIGH;Here, the Digital Twin demopnstroat is presented as a method for the design and implementaion of privacy enhancement mechanisms, and is used to detect privacy concerns and mimmize breaches and associated risks to which smart car drivers cvan vbe exposed ;The term digital twin was originally defined as a virtual represeentaion of what has been manufactured through various lifecycle phases. The Digital Twin is a virtual counterpart to actual physical devices (entities) that combines many Artifical Intelligence (AI)-based rtechnologoies and methods, real-time predictive analysis and forecastign algorithms preforming on top of Big Data redived from the IoT Sensors and acquired historical data;it allos visibility in the manufacturing operations, it can be used to simulate various conditions, it can be used t o connect with the backend business apllications to support suply chain etc.;Automotive;Privacy Assessment;Cloud;Cars, Stakeholders;vehivle model,. Ob board sensor data, steering wheel feedback tuningg data, data require for tyre, driver skills, perceptio etc.;DIGITAL_EXPERT (Driver);DIGITAL_TWIN;N/A;N/A;security & privacy data analysis, safety and operational analysis, prediction & analytics based decisions for security, location based bevavioural analysis, tempral behavioural analsis of time series, behaviour and performance modelling ;N/A;N/A;Implementation of previous mentioned concept;N/A
Damjanovicbehrendt2018abc;HIGH;"We have designed a digital twin prototype for detecting security, privacy and safety critical
issues for the smart automotive sector, based on work done in the ongoing IoT4CPS project
(Trustworthy IoT for cyber-physical Systems. that employs machine learning
(ML) for behavioural analysis and forecasting
of security, privacy and safety
measures. The proposed prototype creates
an open source environment that
comprises the following three technology
blocks: (i) data collection and
management, (ii) computational model
management and (iii) (micro-)service
management.";N/A;"One of the desired features for the digital
twin is the ability to accurately simulate,
analyse and predict real-world
events and situations.";Automotive;Cyber Threat Detection, Cyber Threat Analysis, Data Access & Control, Incident Response Service, Security Analytics ;N/A;Car, Smart Car;"In order to do so,
digital twins require a collection of data
describing the physical world, context,
events and situations to be “mirrored” in
the virtual space. The collected data
include expert knowledge, historical
data, inferred data, as well as data integrated
from other enterprise systems and
third-party systems.";DIGITAL_PHYSICAL;DIGITAL_TWIN;"Digital twins require a collection of
models, e.g. data computational models
(dynamic, behaviour models including
statistical packages for ML, analytics,
optimisation) and representational
models (static, structural models
including semantic data models,
NoSQL, relational data models, rule
engines). Data computational models
perform analytics and processing along
the entire product lifecycle phases, supporting
system models, functional
models, manufacturing computation";N/A;Simulation, Analysis, replication, Decision Making, Semantic Data Interoperability, Model Maangement;"Digital twins require a collection of
models, e.g. data computational models
(dynamic, behaviour models including
statistical packages for ML, analytics,
optimisation) and representational
models (static, structural models
including semantic data models,
NoSQL, relational data models, rule
engines)";YES;N/A;N/A
