Key;Relevance;Contribution;RQ1_Definition;RQ2_Benefit;RQ2_Application_Domain;RQ2_Application_Scenario;RQ3_Deployment;RQ3_Asset;RQ3_Data;RQ3_Communication_Flow;RQ3_Level_of_Integration;RQ3_Protocol;RQ3_Tools;RQ3_Operation_Mode;RQ3_Generation;RQ3_Architecture;RQ4_Future_Research;RQ4_Challenges
Atalay2020;HIGH;In this paper, we provide an overview of smart grid cybersecurity standards, and review major threats to smart grid environments at the physical, network and application layers. In order to overcome the current lack of standards for security evaluation of smart grids, we propose a digital twins based approach for the complete lifecycle of a smart grid, which accurately models the functioning of the physical grid and avoids service disruptions caused by running security tests on the actual grid.;At a high level a digital twin can be defined as a virtual replica of an object from the physical world ;Generic penetration testing tools are incompetent for this task, as they are generally designed for smaller and more homogeneous networks.;Smart Grid;penetration testing,intrusion detection;Cloud;Smart Meter, Actuator;Physical information devices identi?ers,model, version, storage, input and output size, and locationare kept as physical models. On the other hand, the deviceshave logical pro?les in the system, such as their mapping inthe virtual machine, the RAM size, the bandwidth, image size,processing power, etc. A dynamic knowledge database is required in the system,which keeps the logs of monitoring data to model the behaviorof a cloudlet. This knowledge database is frequently updatedand represents the pro?le of the ecosystem the cloudlet residesin. The database can be organized to store the energy trendinformation for different times and tasks. Physical models or behavioural models,  Network traffic;DIGITAL_PHYSICAL;digital twin;TCP/IP, MQTT;N/A;Simulation, Optimization, Machine Learning, Pattern, Outlier, Data Clustering;N/A;YES;Our ongoing work includes the modeling andimplementation of the proposed security evaluation framework for real-world smart grid infrastructures.;there  is  a  lack of  standards  for  comprehensive  security  assessment  of  smart grids,  which  is  a  critical  shortcoming 
Ayodeji2020;MEDIUM;This paper examines recent advances in intrusion detection algorithms, their limitations, challenges and the status of their application in critical infrastructures.;N/A;without interrupting the real process.;Smart Manufacturing;security evaluation,security testing,intrusion detection;N/A;Process;N/A;N/A;digital twin;N/A;Nmap, Nessus;Simulation model;Design driven or data-driven;NO;N/A;N/A
Ayyalusamy2022;HIGH;This paper presents the system architecture and communication system design of a new hybrid digital twin (HDT) system for smart grid cyber security studies. The HDT system emulates the smart grid cyber-physical system using MATLAB-SIMULINK model (digital) and single board comput- ers (physical). The methodology to establish the HDT including the network segmentation using configurable network switch and communication protocol using Node-RED is described in detail. The performance of the HDT communication system in terms of round trip time between the digital and physical models and within network components in the physical model is also studied. The development of the HDT will provide a new reconfigurable, scalable and low-cost platform to study the cyber- security vulnerabilities in smart grids and other cyber-physical systems. ;As a result, there is a practical requirement for Digital Twins (DTs) that can replicate the physical system with sufficient fidelity and an emulated virtual network that is equivalent to a physical test-bed. ;Another critical advantage of such DTs is their reproducibility, scalability, and adaptability. However, even with DTs, the exercise(s) are not trivial, because creating a digital twin itself is a complex and expensive process given the real-time modelling and simulation requirements. ;Smart Grid;testing;Cloud;IEDs, PLCs, smart meters, human machine interface (HMI), and historian will be replaced with Raspberry Pi 3 Model B+ ;N/A;DIGITAL_PHYSICAL;digital twin;MQTT, Modbus, IEC61850, and IEC104 protocols, VLAN, IP, Ethernet;Simulink Real-time, Opal-RT, RTDS and Typhoon HIL, node red, Simscape Electrical Toolbox;simulation;physical hardware?;YES;N/A;N/A
Bajaj2020;LOW;N/A;N/A;N/A;Smart Manufacturing;intrusion detection;N/A;Network, Machine;N/A;N/A;N/A;N/A;N/A;N/A;N/A;NO;N/A;Automated vulnerability assessment and detection tools. Many tools currently exist but are not tuned for manufacturing or the operational requirements of a production setting. ? Analytics-based detection?networks or machines?and use of digital twins. ? Tools to audit the extent of attacks. ? Automated, robust part validation technology, including automated distributed ledger technologies such as blockchain, for trusted parts and data validation. 
Balta2023;HIGH;In this work, we propose a DT framework for detecting cyber-attacks in CPMS during controlled transient behavior as well as expected anoma- lies of the physical process. We present a DT framework and provide details on structuring the architecture to support cyber- attack detection. Additionally, we present an experimental case study on off-the-shelf 3D printers to detect cyber-attacks utilizing the proposed DT framework to illustrate the effectiveness of our proposed approach. ;Specifically, in the context of this work, a DT is a software replica of a physical counterpart (i.e., the physical twin), system, process, or product, and has a purpose of impacting an aspect of the physical twin and its environment in a positive way through utilizing models, data analytics, and subject matter expertise (SME) ;To address the issue of monitoring CPMS, digital twin (DT) technology has emerged as a fundamental tool for twinning physical resources to provide additional analysis capabilities and delivering insights on the run-time system in addition to the as-designed conditions. ;Smart Manufacturing;intrusion detection;N/A;3D printer;runtime data, temperature;DIGITAL_PHYSICAL;digital twin;N/A;N/A;simulation;with a G-Code file;YES;Further developments in detecting abnormalities dur- ing closed-loop transient behavior could improve CPMS per- formance and the abnormality detection performance of DTs. Additionally, we believe the presented OSVM based abnor- mality detection approach can be extended as a stand-alone AD approach for CPMS by defining the proper data labels for training and tuning the sensitivity of the detector for the specific use case (e.g., using a receiver operating characteris- tics curve). Lastly, studying attacks with no output measurable effects are of interest for future work. ;N/A
Ban2022;MEDIUM;We introduce TAESim, a simulation testbed to support reusable simulations in the research of IoT safety and security, especially for the IoT activities in home automation that could involve possibly unexpected interactions. / In this work, we propose TAESim, a simulation testbed for IoT safety and secu- rity analysis of trigger-action environment. The simulation can be viewed as the digital twin of an IoT system with cyberspace and physical interactions. We implement this testbed to correctly model the behaviors of IoT apps, states of devices, and channels. The testbed supports large-scale analysis with no limita- tion of types of IoT devices and apps. The states of devices and channels can be randomly speci?ed for test case generation. We conduct the experiments to show its e?ciency and present the case studies to show its e?ectiveness. The results show that most simulations only consume 1?3 s. Simulating 5000 devices with the Stop Time 43200 min takes 275 s. We also present two case studies, that show that the testbed can properly simulate the trigger action environment and discover the safety and security violations.;x;1. to predict future behavior for the interrule vulnerability. 2. modeling the trigger-action environment that can be helpful at steps in the assessment of security, safety, and privacy of IoT automation systems.;Smart Home;anomaly detection;N/A;IoT Device, actuator;sensor data;DIGITAL_PHYSICAL, DIGITAL_EXPERT;digital twin;UDP;MATLAB, Simulink;Simulation;Working with Data Store Memory blocks for cyberspace and physical channels, devices, and IoT apps.;YES TAPSim;N/A;N/A
Bayanifar2017;LOW;This study targets these concerns by proposing a generic model for intelligent distributed dependability and security supervision and control mechanisms to enable components to autonomously meet their own security and dependability objectives through real-time distributed improvement cycles, using multi-agent systems approach to enable full exploitation of the model?s evolution capabilities.;N/A;N/A;Smart Manufacturing;intrusion detection;N/A;CPS environment, collobritations, functions, modules objectives, tasks;N/A;DIGITAL_PHYSICAL;digital twin;N/A;N/A;Monitoring;N/A;NO;N/A;N/A
Becue2018;HIGH;The CyberFactory#1 project (ITEA nr 17032) aims at solving this dilemma between productivity and security through the design, development and demonstration of a System of Systems that embraces the  technical, economical, human and the societal dimensions of future factories. It relies on innovative simulation, optimization and resilience capabilities.;A digital twin can be defined as an evolving digital profile of the historical and current behavior of a  physical object or process The digital twin is based on massive cumulative real time real world data measurements across an array of dimensions;Cyber-physical modelling and digital twins: to support design, testing training and validation of secure by design FoF technologies. ;Smart Manufacturing;design testing,training,validation of FoF technologies;dedicated CR;Industrial Robots, PLC;collected machine, product and environment data, CTI, Operator Feedback;DIGITAL_EXPERT;digital shadow;N/A;CyberFactory#1;Replication;The digital twin is based on massive, cumulative, real-time, real-world data measurements across an array of dimensions.;YES;N/A;N/A
Becue2020;HIGH;In this paper, we address those limitations and propose innovations for cognitive modeling and co-simulation which may unleash novel uses of Digital Twins in Factories of the Future. We introduce a holistic Digital Twin approach, in which the factory is not represented by a set of separated Digital Twins but by a comprehensive modeling and simulation capacity embracing the full manufacturing process including external network dependencies.;a DT is a formal digital representation of some asset process or system that captures attributes and behaviors of that entity suitable for communication storage interpretation or processing within a certain context;Beyond its usefulness for design optimization, such DT can also support system configuration management, upgrade validation, software update testing before deployment or assessment of resilience towards new threats.;Smart Manufacturing;design testing,training,validation of FoF technologies;Cloud;Industrial Robots, PLC;collected machine, product and environment data, CTI, Operator Feedback;DIGITAL_EXPERT;digital shadow;N/A;CyberFactory#1, Ditto, Node-Red, Facial Action Coding System (FACS) and facial emotion recognition, Gazebo a linux-based simulation tool of robotic systems, airbus cyber range, elasticsearch, kibana;Simulation;N/A;YES;N/A;N/A
Becue2022;HIGH;It will contribute to research by providing techniques for modelling highly heterogeneous OT environments and conducting realistic attack scenarios. It will contribute to practice, by enabling simulation-based security decision support for OT professionals involved in dig- ital transformation programs. ;DT are based on the usage of several di?erent tech- nologies, such as machine learning and simulation, able to support a digital replica of a systems and bene?ting from a real-time integration with the physi- cal components. Industrial applications of DT focus on areas such as predictive maintenance, process optimization and safety manegement;DT are based on the usage of several di?erent tech- nologies, such as machine learning and simulation, able to support a digital replica of a systems and bene?ting from a real-time integration with the physi- cal components.;Smart Manufacturing;design testing;dedicated CR;Roboshave system for rivet shaving during manufacturing;PLC data, HMI;DIGITAL_EXPERT;digital shadow;S/comm, profinet, modbus tcp;WinCC, Emergency Warning System;Simulation;Airbus Cyber Range;YES Airbus CR;N/A;A remaining limitation is that the current DT is not connected to the physical system in real time. This limita- tion prevents DT application for continuous monitoring of OT system security.
Bitton2018;HIGH;In this paper we suggest a method for creating a digital twin that is network-specific, cost-efficient, highly reliable, and security test-oriented.;In contrast to testbeds, which are generic, a digital twin is a replica of a speci?c ICS, i.e., a model that consists of all of the components from the original industrial environment. Each replicated compo- nent can either be implemented as a digital clone (e.g., by using simulation or virtualization software), or alternatively can be physically installed in the twin r a c k e r - s o ft w a r model.;The primary bene?t of using a digital twin, as opposed to a testbed, is that it reliably represents the real industrial environment. In other words, the results of a pen-test conducted on the digital twin genuinely re?ect the expected results of conducting the same test in the real environment.;Smart Manufacturing;penetration testing;N/A;ICS simpli?ed thermal power plant architecture;N/A;N/A;N/A;S7comm;N/A;Simulation;N/A;YES;In future work we plan to evaluate the method on more realistic environments from a diverse range of industries and propose a heuristic algorithm for finding a near-optimal solution (digital twin setup) with sub-exponential time complexity. In addition, we plan to extend the solution to support different pricing strategies for the various implementations, such as software bundles with contribution margin-based pricing. We also plan to (1) add new types of constraints, e.g., constraints that take the physical space available within the digital twin that will be implemented (e.g., a small room or an open space) into account (2) consider implementations of multiple elements as virtual or simulations on the same machine and (3) handle identical setups in an industrial environment (e.g., if two similar production lines are implemented, there is no need to test both of them). Finally, a general knowledge base of possible tests and their test dependencies should be researched and established.;N/A
Bore2020;MEDIUM;This chapter discusses the threat arising from within the organisation, whether from negligence, malice, or exploitation by an external party. The trusted insider is one of the greatest challenges facing organisations today.;A synthetic behavioural model of a person or other entity used to predict behaviour whether predicting drug interactions in medical research or purchasing patterns in online shopping;Providing behaviour profiles for individuals in the form of a digital twin which can be subjected to much more thorough analysis than the individual otherwise would does have significant potential for improving the prediction of insider threat;Enterprise Organization;insider threat detection;N/A;Human;Behavoural profiles for individuals (Social Networks etc.);N/A;N/A;N/A;N/A;Prediction;N/A;NO;N/A;N/A
Brockhoff2021;HIGH;In the context of this paper, we aim to extend the process so that the DT application is produced automatically in a single integrated generation step. For example, we can include an additional step into the automated generation process for the described DT architecture. This generation step includes a model in the architecture description language MontiArc [25], describing each component, its subcomponents, the compo- nent?s interface and the communication to the other compo- nents. Other extension points are the possibility to integrate initial process models to the DT./ We believe our approach helps to overcome the challenges of bi-directional synchronization between digital twins and their actual systems [33], as our approach is able to (1) take the raw runtime data provided by the CPPS via the Data Lake and extract the relevant information within the Pre-Processor, (2) evaluate and reason about the digital twin models within digital shadows to use this information extracted from the runtime data, and (3) provide concrete actions produced using these digital twin models to be fed into the system during execution in an automated way or via human operators;active software systems connected to another (cyber- physical) system and using data and models during its runtime to optimize its behavior. / understand DTs as software systems that can actively represent, control, and/or optimize the behavior of an observed (cyber-physical) system. ;N/A;Generic;N/A;N/A;CPS;data about objects stored in data lak/ 3rd party application data;DIGITAL_PHYSICAL, DIGITAL_EXPERT;digital twin;N/A;MontiGem;Simulation, Replication;MontiGem;YES;Further Model-Driven Software Engineering (MDSE) research for DTs. / Deriving DTs from engineering models. / Automatically exploiting DT insights. / Models at runtime in DTs. / Researching digital shadows.;N/A
Cali2023;HIGH;The article reviews the literature and practices of DT in energy systems in smart cities to provide new insights for future research trajectories. DTs can, among others, enhance cyber security, efficiency, sustainability, and reliability. ;DT is defined as a virtual replica of a physical system, including its environment and processes where information is exchanged between the physical and virtual environments to keep the digital twin up to date. ;DTs offer the potential to model, simulate and analyze complex engineering systems, including power generation plants, energy storage and grid management systems, smart cities technologies and big data, as well as building energy management systems. Through the use of DTs, system operators are able to optimize performance, minimize downtime, process and visualize data, and preemptively address potential technical issues before they arise as well as detect and monitor climate risks. ;Smart Grid;generic;on premis, cloud;N/A;N/A;DIGITAL_PHYSICAL;digital twin;NP3, Modbus, ICCP, IEC 62443 ; ;simulation, analysis, replication;. Such a study will lead to forecasting failures, performing predictive studies, identifying the needs for data and model generation for physics-based AI/ML tools and algorithms, workforce advancements through tabletop exercises, etc. ;YES;"1) Improved Performance, Efficiency, and Reliability: DTs play a pivotal role in optimizing the performance of en- ergy systems, leading to enhanced efficiency and cost savings. They facilitate real-time management of energy consumption and production patterns, thus minimizing energy waste and im- proving efficiency. Moreover, DTs offer predictive capabilities, enabling accurate forecasting of maintenance requirements, resulting in reduced downtime and maintenance costs, thereby enhancing the reliability of energy systems. 2) Sustainability and Energy Transition: DTs have the potential to optimize the environmental impact of energy systems in smart cities by enabling efficient energy generation and consumption. They play a crucial role in the rapid adoption and seamless integration of RES, leading to a reduction in carbon emissions and ensuring sustainability, in line with the United Nations’ Sustainable Development Goals. DTs facilitate effective management of RES, such as solar and wind power, by predicting their energy output and performance under different operating conditions. This enables utilities to optimize the use of RES, minimizing reliance on fossil fuels, and reducing the overall carbon footprint of energy systems. In1) Integration Issues with other technologies: The inte- gration of DTs with other digital technologies in the context of energy applications presents huge challenges that must be ad- dressed. The two key challenges that emerge in this context are data interoperability and increased system complexity. These challenges arise due to the existence of diverse data formats and protocols across multiple technologies. Such diversity can also restrict the scalability of the system, thereby inhibiting the consideration of system expansion and growth. 2) Cost: DTs have the potential to offer significant benefits in the energy sector, however, their implementation poses a critical challenge due to cost considerations. The implemen- tation of DTs requires substantial investments in hardware, software, and expertise. The cost of implementing DTs is, therefore, a crucial factor that must be taken into account. As such, it is essential to evaluate the costs of implementing DTs against their potential benefits in order to make informed decisions regarding their use in the energy sector. 1) Standardization: One key limitation related to imple- menting DTs in the energy sector and smart cities can be the establishment of common technical specifications and protocols to ensure interoperability and compatibility among different systems and processes. Without standardized DT components and protocols, DTs may not reach their full potential in terms of improving efficiency and optimizing the performance of energy systems. 2) Security Concern: The implementation of DTs in the energy sector raises significant concerns regarding security, as the technology’s operation is susceptible to cyberattacks, data privacy violations, and physical security breaches. The security implications in the energy sector are multi-dimensional, neces- sitating a comprehensive approach to address these concerns. Such an approach must comprise a multi-layered framework that encompasses best cybersecurity practices, regulatory com- pliance with data privacy guidelines, and physical security measures.  3) Advancements in AI and ML: Advancements in AI and ML have been instrumental in facilitating the development of DT use-cases in the energy sector and smart cities. With the ability to process large and heterogeneous data from sensors in real-time, AI and ML algorithms enable the DT to perform accurate monitoring and control of the system, leading to online optimization, enhanced forecasting, and improved simulation capabilities."" this way, DTs are a valuable tool to promote sustainable development and mitigate climate change in smart cities."; 
Calo2018;LOW;In this paper, we discuss a set of scenarios for access control needed in current and future systems and use that to argue that an approach for resources to generate and manage their access control policies dynamically on their own is needed.;N/A;The devices can use such a model to determine whether or not they should allow access to any resource or service that is being requested of them.;Enterprise Organization;access control;Embedded;IoT Device;States depending on sensor data (unsafe/safe);DIGITAL_PHYSICAL;digital twin;N/A;N/A;Simulation;device state model;NO;N/A;Defining the right ?high-level guidance?:Access control policies were introduced as the general approach for simplifying the application of access control mechanisms to a divergent Blue Sky Session: Next Generation Security Services for Emerging Networks SACMAT?18, June 13-15, 2018, Indianapolis, IN, USA4 set of use-cases. We need to define a similar concept for ?high level guidance? which will be applicable to various scenarios and contexts in a general way. The semantics to be used for high-level guidance needs to be defined. While that semantics can be defined for each of the different generation approaches discussed in Section 3, an open challenge remains that of identifying the abstraction that will create the concept of the ?high level guidance? that will be applicable to a broad set of use-case scenarios regardless of the approach used to generate policies. (2) Defining the right discovery process: Generating the right access control policy requires each of the resources in the environment to be aware of the other devices in the environment. Given the lack of widely adopted standards for discovery of resources, and the many security exposures that may result from a flawed discovery process, new discovery techniques that can provide sufficient security in many dynamic contexts are needed. (3) Determining the situational context: The definition of the situational context, as well as its determination, remains a hard and open research challenge. Access control needs to account for not only the other resources that any given resource interacts with, but also for the resources that may indirectly use the information provided by that resource. Understanding the situation on the ground in sufficient detail to provide workable security is a challenge that can be solved on a case-by-case basis, but a general formulation remains an open challenge. (4) Policy deconfliction without human guidance: When access control policies are generated by the resources, they may conflict among themselves, or with other policies that are imposed on the system to meet other requirements, such as performance, reliability or availability requirements. In the presence of a human, such conflicts can be resolved and deconflicted using the human provided input. Similar algorithms, which can operate without a human in the loop, need to be developed. (5) Controlling emergent behavior: When resources create their own policies, there is a danger of uncontrolled emergent behavior [15]. Emergent behavior is behavior shown by a collection of systems which was not originally designed but happens due to the dynamic interactions among different intelligent systems. Such emergent behavior can be controlled, but the design needs to account for that. The control of emergent behavior in complete generality remains an open challenge, but there may be solutions that can be developed for specific domain of access control. (6) Learning-related challenges: The approach used by resources to learn their access control policy has to use some type of learning approach, which creates a generalization based on its past experiences, but such learning mechanism has its challenges. The set of experiences for access control in each use-case has only a few small data points to draw from, which means that either existing learning techniques that use only a few data points need to be used, or new learning techniques requiring small data for training needs to be actor may manipulate the data so as to force the device to learn an invalid model which could lead to generation of insecure access control policies. Solutions to such adversarial learning in uncontrolled environments need to be developed. (7) Increase in attack surface. The increase in complexity due to autonomous generation of policies by devices can lead to new types of security vulnerabilities and threats, e.g. the adversarial learning example given above. This could lead to challenges with established assurance processes in enterprise and government networks, and the right way to provide assurance for systems using dynamically generated access control policies need to be developed. (8) Power, computation and communication efficiency. While in the past several years there have been tremendous advantages in the computational capacity of small devices, devices that need to learn and manage their own policies may find themselves unable to use approaches that require specialized hardware, or significant computational power, e.g. learning mechanisms based on deep neural networks. For any solution developed with dynamic access control policies, system design should incorporate mechanisms that take into account the limitations on a resource, which usually manifests itself as limited amount of battery power, computational capacity or the ability to communicate at high bandwidth rates.
