Key,G_Relevance,G_Contribution,RQ1_Definition,RQ2_Benefit,RQ2_Application_Domain,RQ2_Application_Scenario,RQ3_Deployment,RQ3_Asset,RQ3_Data,RQ3_Communication_Flow,RQ3_Level_of_Integration,RQ3_Protocol,RQ3_Tools,RQ3_Operation_Mode,RQ3_Generation,RQ3_Architecture,RQ4_Future_Research,RQ4_Challenges
Biffl2019,LOW,This chapter summarizes and reflects on the material presented in this book regarding challenges and solutions for Security and Quality of Complex Cyber-Physical Systems (C-CPS) Engineering.,N/A,The chapter shows that the following security-related digital twin use cases which can be applied in engineering activities are already discussed in the literature: (1) supporting the design of more secure CPSs (2) detecting hardware and software misconfigurations (3) conducting security testing and (4) monitoring security and legal compliance.,Smart Manufacturing,security by design detecting hardware and software misconfigurations conducting security testing monitoring security legal compliance,N/A,N/A,N/A,N/A,digital twin,N/A,N/A,N/A,N/A,NO,N/A,N/A
Biffl2019a,LOW,This chapter overviews the engineering process of C-CPSs typically longrunning technical systems such as industrial manufacturing systems and continuous processing systems.,N/A,The chapter aims to demonstrate that digital twins can holistically improve the security of CPSs by applying security measures in various phases of their lifecycle.,Smart Manufacturing,design security tests security testing intrusion detection,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Simulation Replication,N/A,NO,N/A,N/A
Bitton2018,HIGH,In this paper we suggest a method for creating a digital twin that is network-specific cost-efficient highly reliable and security test-oriented.,N/A,In contrast to testbeds which are generic a digital twin is a replica of a specific ICS,,,,,,,,,,,,,In future work we plan to evaluate the method on more realistic environments from a diverse range of industries and propose a heuristic algorithm for finding a near-optimal solution (digital twin setup) with sub-exponential time complexity. In addition we plan to extend the solution to support different pricing strategies for the various implementations such as software bundles with contribution margin-based pricing. We also plan to (1) add new types of constraints e.g. constraints that take the physical space available within the digital twin that will be implemented (e.g. a small room or an open space) into account,(2) consider implementations of multiple elements as virtual or simulations on the same machine,and (3) handle identical setups in an industrial environment (e.g. if two similar production lines are implemented there is no need to test both of them). Finally a general knowledge base of possible tests and their test dependencies should be researched and established.,N/A 
Bore2020,MEDIUM,This chapter discusses the threat arising from within the organisation whether from negligence malice or exploitation by an external party. The trusted insider is one of the greatest challenges facing organisations today.,A synthetic behavioural model of a person or other entity used to predict behaviour whether predicting drug interactions in medical research or purchasing patterns in online shopping,Providing behaviour profiles for individuals in the form of a digital twin which can be subjected to much more thorough analysis than the individual otherwise would does have significant potential for improving the prediction of insider threat,Organization,insider threat detection,N/A,Human,Behavoural profiles for individuals (Social Networks etc.),N/A,N/A,N/A,N/A,Prediction,N/A,NO,N/A,N/A
Calo2018,LOW,In this paper we discuss a set of scenarios for access control needed in current and future systems and use that to argue that an approach for resources to generate and manage their access control policies dynamically on their own is needed.,N/A,The devices can use such a model to determine whether or not they should allow access to any resource or service that is being requested of them.,Organization,device model control,embedded,IoT Device,States depending on sensor data (unsafe/safe),DIGITAL_PHYSICAL,digital twin,N/A,N/A,Simulation,device state model,NO,N/A,Defining the right “high-level guidance”:Access control policies were introduced as the general approach for simplifying the application of access control mechanisms to a divergent Blue Sky Session: Next Generation Security Services for Emerging Networks SACMAT’18 June 13-15 2018 Indianapolis IN USA4 set of use-cases. We need to define a similar concept for “high level guidance” which will be applicable to various scenarios and contexts in a general way. The semantics to be used for high-level guidance needs to be defined. While that semantics can be defined for each of the different generation approaches discussed in Section 3 an open challenge remains that of identifying the abstraction that will create the concept of the “high level guidance” that will be applicable to a broad set of use-case scenarios regardless of the approach used to generate policies. (2) Defining the right discovery process: Generating the right access control policy requires each of the resources in the environment to be aware of the other devices in the environment. Given the lack of widely adopted standards for discovery of resources and the many security exposures that may result from a flawed discovery process new discovery techniques that can provide sufficient security in many dynamic contexts are needed. (3) Determining the situational context: The definition of the situational context as well as its determination remains a hard and open research challenge. Access control needs to account for not only the other resources that any given resource interacts with but also for the resources that may indirectly use the information provided by that resource. Understanding the situation on the ground in sufficient detail to provide workable security is a challenge that can be solved on a case-by-case basis but a general formulation remains an open challenge. (4) Policy deconfliction without human guidance: When access control policies are generated by the resources they may conflict among themselves or with other policies that are imposed on the system to meet other requirements such as performance reliability or availability requirements. In the presence of a human such conflicts can be resolved and deconflicted using the human provided input. Similar algorithms which can operate without a human in the loop need to be developed. (5) Controlling emergent behavior: When resources create their own policies there is a danger of uncontrolled emergent behavior [15]. Emergent behavior is behavior shown by a collection of systems which was not originally designed but happens due to the dynamic interactions among different intelligent systems. Such emergent behavior can be controlled but the design needs to account for that. The control of emergent behavior in complete generality remains an open challenge but there may be solutions that can be developed for specific domain of access control. (6) Learning-related challenges: The approach used by resources to learn their access control policy has to use some type of learning approach which creates a generalization based on its past experiences but such learning mechanism has its challenges. The set of experiences for access control in each use-case has only a few small data points to draw from which means that either existing learning techniques that use only a few data points need to be used or new learning techniques requiring small data for training needs to be actor may manipulate the data so as to force the device to learn an invalid model which could lead to generation of insecure access control policies. Solutions to such adversarial learning in uncontrolled environments need to be developed. (7) Increase in attack surface. The increase in complexity due to autonomous generation of policies by devices can lead to new types of security vulnerabilities and threats e.g. the adversarial learning example given above. This could lead to challenges with established assurance processes in enterprise and government networks and the right way to provide assurance for systems using dynamically generated access control policies need to be developed. (8) Power computation and communication efficiency. While in the past several years there have been tremendous advantages in the computational capacity of small devices devices that need to learn and manage their own policies may find themselves unable to use approaches that require specialized hardware or significant computational power e.g. learning mechanisms based on deep neural networks. For any solution developed with dynamic access control policies system design should incorporate mechanisms that take into account the limitations on a resource which usually manifests itself as limited amount of battery power computational capacity or the ability to communicate at high bandwidth rates.
Campolo2020,LOW,In such a context in this paper we elaborate on the role of technologies like multi-access edge computing (MEC) Internet of Things (IoT) messaging protocols such as Constrained Application Protocol (CoAP) and Message Queue Telemetry Transport (MQTT) and virtualization (i.e. digital twins) in the design of a framework enabling the collection and processing of data about the mobility of commuters and public transport vehicles.,As a result the digital twin enables data to be seamlessly transmitted between the physical and virtual worlds hence ensuring real time monitoring of systems helpful for their maintenance and for future upgrades,Digital Twin as Replication and provide sensitive views to stakeholders dependent on their right of PT vehicles,Mobility,access control,edge,MaaS vehicles,e.g. smartphones of commuters On Board Systems (OBSs) of PT vehicles,DIGITAL_PHYSICAL,digital shadow,MQTT COAP LwM2m (Leshan) TCP GPS,User Equipmment App Mosquitto Wireshark DT applications hosted in MEC facilities can further access additional (context) information and provide accurate positioning via data fusion from multiple available sources also improved by the ME LS.,Replication ,Data from ME (replication),YES,Hence as a future work we plan the deployment of the DT application as a Docker container as well as the evaluation of its memory and CPU footprint when varying the available processing resources and the number of commuters for a given ME host to figure out potential scalability issues for the actual deployment.,N/A
Castellani2021,HIGH,In this paper we present novel weakly-supervised approaches to anomaly detection for industrial settings. The approaches make use of a Digital Twin to generate a training dataset which simulates the normal operation of the machinery along with a small set of labeled anomalous measurement from the real machinery.,Digital Twin it can be realistic simulation which captures the qualitatively correct behavior of the machinery or an almost perfect digital copy whose output can be directly compared to the real world machinery,or an almost perfect digital copy whose output can be directly compared to the real-world machinery. The former can be at least used to create a large dataset containing data samples of normal operation conditions which can be utilized in machine learning approaches.,Smart Manufacturing,intrusion detection,N/A,Heating Ventilation and Air Conditioning (HVAC) Combined Heat and Power (CHP),Ambient Temperature (Ta) Produced Thermal Power (PTh) Produced Thermal Energy (ETh) Produced Electrical Power (PEl) Produced Electrical Energy (EEl) Water flux (Flux) Water flow temperature (TFlow) Water return temperature (TReturn) Flow/return temperature difference (TDiff),DIGITAL_PHYSICAL,digital twin,N/A,PyOD Keras Tensorflow SimulatinX Modelica,Partial Grid Search KNN Siamese Autoencoder Simuation,Green City Library ,NO,The proposed algorithms are designed to easily incorporate the expert-feedback therein. However their evaluation is intentionally left for future work.,N/A
Catarci2019,MEDIUM,We envision an architecture where humans can instead specify a goal and take advantage of technologies such as digital twins to automatically compose the corresponding physical processes sharing some analogies with the notion of Web service composition.,A crucial difference between traditional software artifacts used in composition techniques and DTs is that DTs may not share the same view of the world Clearly a DT itself consists of an information model to describe its physical twin Specifically a DT can consist of different models and data that take into account the different phases of product life cycle Modern information systems and industrial machines may natively come out indeed with their digital twin,First the virtual environment provides a simulation mode in which the DTs run independently from the physical environment. Second the replication mode records events such as network traffic from the physical environment and replicates them in the virtual setup.,Smart Manufacturing,monitoring security analysis intrusion detection,cloud,Factories Machines everythin,A device shadow is a JSON file that contains the state information meta-data timestamp unique client token and version of a device connected to the device shadow service.,DIGITAL_PHYSICAL,digital twin,MQTT COAP LwM2m (Leshan) TCP GPS AutomationML Manufacturing Service Description Language system models functional JSON REST API 3D geometric models multiphysics models manufacturing models usage models,Eclipse Ditto GE Predix Bosch IoT Things Microsoft Azure IoT IBM Watson IoT AWS IoT Experimentable DTs in virtuel testbeds,Simulation,N/A,N/A,How this confidence must be computed according to the quality of machine learning tasks involved in DTs and in the mediator for entity resolution is a challenging ongoing research task.,N/A
Chhetri2018,MEDIUM,In this paper we will present the various trends and advances in the security of the supply chain and  product lifecycle of the manufacturing system while highlighting the roles played by the major enabling components of Industry 4.0.,Digital twin is a virtual digital representation of a physical entity or system,Digital twin allows the analysis of data and monitoring of systems to forecast problems even before they occur [148] thus preventing downtime and providing better efficiency.,Smart Manufacturing,vulnerability prediction impact of changes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Choi2020,MEDIUM,In this paper we introduce a vendor-agnostic analytics framework which allows security researchers to analyse attacks againstICS systems even if the researchers have zero control automation domain knowledge or are faced with a myriad of heterogenous ICS systems.,N/A,digital twin systems mimicking real-world scenarios.,Smart Manufacturing,security testing securit evaluation,N/A,ICS ,The test digital twin system comprises of an HMI two PLCs two network switches and a firewall representativecomponents in most ICS scenarios.,DIGITAL_EXPERT,digital shadow,N/A,InTouch software from Schneider Electric CompactLogix 5370-L3 Schneider Electric Modicon M580 pfSense ettercap wireshark kdiff3 Kali Linux,Simulation,N/A,N/A,For future work we will continue to conduct further research on the countermeasures proposed earlier in this paper. Based on the data produced by our framework future research on preventative measures would be feasible and aligns well to the ultimate goal of our framework. As an extension of our approach we will conduct further experiments of our framework on an ICS with a fake PLC or add meaningless data fields to experiment control data integrity and resiliency.,N/A
Chukkapalli2021,MEDIUM,Therefore in this paper we present a smart fisheries ecosystemwhere the architecture describes various interactions that happenbetween internet connected devices. We develop a smart fisheriesontology based on the architecture and implement Attribute BasedAccess Control System (ABAC) where access to resources of smartfisheries is granted by evaluating the requests,The virtual replicas of the physical sensors deployed in the farm are represented as digital twins,They monitor the data generated from the physical sensors and notify the fish farm owners about a breakdown of a machinery in advance to reduce downtime by training machine learning models. Digital twins canalso be utilized for maintaining the data security and privacy whichis an added advantage. For example unauthorized transmissionof data can be avoided with the help of digital twin whenevera temporary worker tries to access previous data of the sensorspresent in the fish farm.,Smart Fishing,access control,cloud,Fish Farm,sensors present in the fishfarm via Internet.,DIGITAL_PHYSICAL,digital shadow,N/A,N/A,Replication ,N/A,YES,N/A,N/A
Cioara2021,MEDIUM,In this paper we will provide an overview of the DTs application domains in the smart grid while analyzing existing the state-of-the-art literature. We have focused on the following application domains: energy asset modeling fault and security diagnosis operational optimization and business models.,N/A,By twining data with accurate DT models of energy assets valuable insights or information can be extracted and integrated within many smart grids applications like operation maintenance energy prediction security and protection errors detection etc.,Smart Grid,security analysis security testing failure prediction detect vulnerabilities mitigation possibilites threat analysis,N/A,Smart Grid with GER,Model of the whole Grid,DIGITAL_PHYSICAL,digital twin,N/A,N/A,data-driven analytics  simulations what-if analyses,The first step is the creation of the DT model based on the actual measurements done on the energy assets. The energy asset model is constructed by using physics or engineering models statistics etc. Augmented reality models can be used for improving the human understanding of the energy assets' operational states,YES,N/A,N/A
Cioroaica2019,LOW,In this paper we introduce a method and a test platformthat support virtual evaluation of decisions at runtime therebysupporting trust building within SES. The key idea behind theplatform is that it employs and evaluates Digital Twins whichare executable models of system components to learn aboutcomponent behavior in observed situations,The notion of a Digital Twin has bee nintroduced by NASA as a realistic digital representation of a flying object used in lab testing activities Since then the notion of Digital Twin has also been adopted in the emerging Industry 40 for representing the status of production devices an dto enable forecast of change impacts,afe real-time evaluation during the runtime of smartagents.,Smart Ecosystem,detection of simulated environments identification of malicious agents,N/A,Smart Agent CPS ECU,The DTshows a projection of the behavior of the smart agents control algorithm in all situations,DIGITAL_PHYSICAL,digital twin,N/A,N/A,linked predictive simulation pure predictive simulation,The DT is an executabledescription of the algorithm that can be controlled ina simulated environment.,N/A,As future work we would like to extend the monitoring components so as to address not only the input/output communications but also intermediate states.,N/A
CristinaFrancodaSilva2021,HIGH,In this article weintroduce a novel concept called Cyber Digital Twin (CDT) which transfers the idea of the DT toautomotive software for the purpose of security analysis. In our approach the ECU software (i.e.firmware) is transformed into a CDT which contains automatically extracted security-relevantinformation from the firmware.,The Digital Twin is the idea to digitally represent physical objects to simulate them before they are built or to predict failures to enable predictive maintenance A CDT is a digital representation of an automotive software (ie firmware) and can provide many advantages with respect to automating security evaluation offirmwares,boxes. The CDT approachpresented in this article can automatically extractimportant information from the firmware binariessuch as interfaces and data flow that is needed forother activities such as security analysis. This extractedinformation enables us to discover securityvulnerabilities in the firmware and furthermoreto check if security requirements of the firmwareare fulfilled.,Mobility,security analysis security evaluation verfication of security requirements,N/A,Firmware ,binaries IP email hashed passwords,DIGITAL_EXPERT,digital shadow,N/A,N/A,replication/ Transformation Retracing Vulnerabilities to Requirements,Transformin Firmware to Digital Twin,YES,n future work we plan to extend our approach to automatically generate test cases for the CDT based on common cybersecurity requirements of ECU software. From the software bill of materials we get a list of libraries used and the deployed versions. We can use this information to generate fuzz test cases in several ways. The first and most straightforward way would be to use specific protocol fuzzers for libraries that use known protocols. Second for the open-source libraries we can retrieve the interfaces and potentially mine input grammars from the repositories directly. Third for commercial libraries the further control and data flow analyses on the binaries can be used for fuzzing. Fourth we could build a database of popular libraries their interfaces and interesting attach surfaces to fuzz corresponding tests.,N/A
Damjanovicbehrendt2018ab,HIGH,Here the Digital Twin demopnstroat is presented as a method for the design and implementaion of privacy enhancement mechanisms and is used to detect privacy concerns and mimmize breaches and associated risks to which smart car drivers cvan vbe exposed ,The term digital twin was originally defined as a virtual representation of what has been manufactured through various lifecycle phases The Digital Twin is a virtual counterpart to actual physical devices (entities) that combines many Artifical Intelligence (AI) based technologies and methods real time predictive analysis and forecasting algorithms performing on top of Big Data redived from the IoT Sensors and acquired historical data,it allos visibility in the manufacturing operations it can be used to simulate various conditions it can be used t o connect with the backend business apllications to support suply chain etc.,Mobility,privacy assessment,cloud,Cars Stakeholders,vehivle model. Ob board sensor data steering wheel feedback tuningg data data require for tyre driver skills perceptio etc.,DIGITAL_EXPERT (Driver),digital twin,N/A,N/A,security & privacy data analysis safety and operational analysis prediction & analytics based decisions for security location based bevavioural analysis tempral behavioural analsis of time series behaviour and performance modelling ,N/A,N/A,Implementation of previous mentioned concept,N/A
Damjanovicbehrendt2018abc,HIGH,We have designed a digital twin prototype for detecting security privacy and safety criticalissues for the smart automotive sector based on work done in the ongoing IoT4CPS project(Trustworthy IoT for cyber-physical Systems. that employs machine learning(ML) for behavioural analysis and forecastingof security privacy and safetymeasures. The proposed prototype createsan open source environment thatcomprises the following three technologyblocks: (i) data collection andmanagement (ii) computational modelmanagement and (iii) (micro-)servicemanagement.,N/A,One of the desired features for the digitaltwin is the ability to accurately simulateanalyse and predict real-worldevents and situations.,Mobility,threat detection threat analysis access control incident response security analytics,N/A,Car Smart Car,In order to do sodigital twins require a collection of datadescribing the physical world contextevents and situations to be mirrored inthe virtual space. The collected datainclude expert knowledge historicaldata inferred data as well as data integratedfrom other enterprise systems andthird-party systems.,DIGITAL_PHYSICAL,digital twin,dynamic model behaviour model ML analytics optimisation static model structural models NoSQL relational data models rule engine ,N/A,Simulation Analysis replication Decision Making Semantic Data Interoperability Model Maangement,Digital twins require a collection ofmodels e.g. data computational models(dynamic behaviour models includingstatistical packages for ML analyticsoptimisation) and representationalmodels (static structural modelsincluding semantic data modelsNoSQL relational data models ruleengines),YES,N/A,N/A
Damjanovicbehrendt2019a,HIGH,We have designed a digital twin prototype for detecting security privacy and safety criticalissues for the smart automotive sector based on work done in the ongoing IoT4CPS project(Trustworthy IoT for cyber-physical Systems. that employs machine learning(ML) for behavioural analysis and forecastingof security privacy and safetymeasures. The proposed prototype createsan open source environment thatcomprises the following three technologyblocks: (i) data collection andmanagement (ii) computational modelmanagement and (iii) (micro-)servicemanagement.,N/A,One of the desired features for the digitaltwin is the ability to accurately simulateanalyse and predict real-worldevents and situations.,Mobility,threat detection threat analysis access control incident response security analytics,N/A,Car Smart Car,In order to do sodigital twins require a collection of datadescribing the physical world contextevents and situations to be mirrored inthe virtual space. The collected datainclude expert knowledge historicaldata inferred data as well as data integratedfrom other enterprise systems andthird-party systems.,DIGITAL_PHYSICAL,digital twin,dynamic model behaviour model ML analytics optimisation static model structural models NoSQL relational data models rule engine ,N/A,Simulation Analysis replication Decision Making Semantic Data Interoperability Model Maangement,Digital twins require a collection ofmodels e.g. data computational models(dynamic behaviour models includingstatistical packages for ML analyticsoptimisation) and representationalmodels (static structural modelsincluding semantic data modelsNoSQL relational data models ruleengines),YES,N/A,N/A
Danilczyk2019,HIGH,In this paper we present a framework foradapting the Digital Twin to the application of microgrid security.The Digital Twin is a real-time physics-based simulation thatruns alongside the physical system providing for its constantmonitoring and control.,To accomplish this the digital twin needs to expand beyond the traditional modeling and simulation techniques by incorporating sensor feedback in the simulation and feeding information from the simulation back into the physical model in real time,The potential power of afully deployed digital twin provides exciting possibilities forimproving the cyber physical security of the future grid aswell as an avenue to visualize the response of the power gridwhen placed under duress,Smart Grid,monitoring,cloud,Microfrid Grid Communication Network,real-time dataabout the physical system and provide guidance in real-time.,DIGITAL_PHYSICAL,digital twin,SCADA,Matlab App Designer Mathworks Simulink SimpowerSystems,Simulation Machine Learning Data Analysis User Interface Visualization,IEEE 39 Bus,NO,N/A,Creating  digital  twins  of  individual  devices  or  components to determine maintenance cycles and service life is valuable,however  the  ability  to  leverage  the  digital  twin  to  not  only model the full physical system but also to control adapt and protect the physical system would be extremely beneficial
Dietz2020,HIGH,To close this research gap this work develops a process-basedsecurity framework to incorporate digital twin security simulationsin the SOC.,Generally a digital representation of any real world counterpart such as a system product process or other enterprise asset over its lifecycle can be referred to as digital twin  The digital twin comprises asset specific data and typically adds context to the data by semantic technologies Based on the semantically linked data analyses such as predictive maintenance can be conducted ,Allowing Simulations,Smart Manufacturing,penetration testing system security testing attack simulation analyzing effects,cloud,Industrial filing plant,PLC data with actuators,DIGITAL_EXPERT,digital twin,JSON,Mininet Ettercap Filebeat Logstash Elasticsearch Kibana Dsiem,Simulation,Manually with MiniCPS,YES,Moreover future research should tackle to integrate even further - towards cyber threat intelligence (CTI). For instance the structured description of attacks could be applied to the simulation data.,Differences DT concept in domains misleading results when parameters are falsified Security testing How to connect DTs? Data Access??
Dietz2020a,HIGH,N/A,In general a DT refers to a digital representation of any real world counterpart during its whole lifecycle At most times however it represents an industrial enterprise asset The core building blocks of the DT paradigm are asset specific data items often enhanced with semantic technologies as well as analysis simulation environments to digitally explore the real world asset,DTs can play animportant role in mitigating and avoiding these risks byproviding comprehensive information about the assets status history and maintenance needs. Some DTs evenprovide direct interaction with the asset.,Smart Manufacturing,intrusion detection stimuli tracing security by design future prediction reproducibility repeatability time independence forensics lifecycle centrality security by design,N/A,ICS,PLC,DIGITAL_PHYSICAL,digital twin,SCADA AML,N/A,Simulation Replication Analysis,There are works that aim for the automatedcreation of DTs by building a software-defined network(SDN) from the AML description of CPSs,YES,Future   studies   should   address   the   current   challenges  (Domain difference DT expert knowledge lack of data security testing APT dependencies between different twins training) in  DT  research  as  outlined  in  the  previous  section.  While  the  growing  implementation  of  sensors  in  I4.0 generally leads to more information and solves a lot of data-related  issues  awareness  and  training  for  identifying the relevant data remains an important requirement. Researchers and practitioners should work hand in hand to develop standards for I4.0 and I4.0 security beyond what is currently available.,Domain difference DT expert knowledge lack of data security testing APT dependencies between different twins training 
