Citation_Key,RQ3_Location,RQ3_Assets,RQ3_Data,RQ3_Communication,RQ3_LoI,RQ3_Protocols,RQ3_Tools,RQ3_Operation_Modes,RQ3_Generation,RQ3_Architecture,   
Damjanovicbehrendt2019a,N/A,"Car, Smart Car","In order to do so,
digital twins require a collection of data
describing the physical world, context,
events and situations to be “mirrored” in
the virtual space. The collected data
include expert knowledge, historical
data, inferred data, as well as data integrated
from other enterprise systems and
third-party systems.",DIGITAL_PHYSICAL,DIGITAL_TWIN,"Digital twins require a collection of
models, e.g. data computational models
(dynamic, behaviour models including
statistical packages for ML, analytics,
optimisation) and representational
models (static, structural models
including semantic data models,
NoSQL, relational data models, rule
engines). Data computational models
perform analytics and processing along
the entire product lifecycle phases, supporting
system models, functional
models, manufacturing computation",N/A,"Simulation, Analysis, replication, Decision Making, Semantic Data Interoperability, Model Maangement","Digital twins require a collection of
models, e.g. data computational models
(dynamic, behaviour models including
statistical packages for ML, analytics,
optimisation) and representational
models (static, structural models
including semantic data models,
NoSQL, relational data models, rule
engines)",YES,   
Danilczyk2019,Cloud (Smart Grid),"Microfrid, Grid Communication Network","real-time data
about the physical system and provide guidance in real-time.",DIGITAL_PHYSICAL,DIGITAL_TWIN,SCADA,"Matlab App Designer, Mathworks Simulink, SimpowerSystems","Simulation, Machine Learning, Data Analysis, User Interface, Visualization",IEEE 39 Bus,NO,   
Dietz2020,Cloud,Industrial filing plant,PLC data with actuators,DIGITAL_EXPERT,DIGITAL_TWIN,JSON,"Mininet, Ettercap, Filebeat, Logstash, Elasticsearch, Kibana, Dsiem",Simulation,Manually with MiniCPS,YES,   
Dietz2020a,N/A,ICS,PLC,DIGITAL_PHYSICAL,DIGITAL_TWIN,"SCADA, AML",N/A,"Simulation, Replication, Analysis","There are works that aim for the automated
creation of DTs by building a software-defined network
(SDN) from the AML description of CPSs",YES,   
Dietz2020abc,"It may even be embedded in the physical asset
itself or deployed on the cloud or an edge computer",Every Asset,N/A,DIGITAL_PHYSICAL,DIGITAL_TWIN,N/A,N/A,"Analysis, intelligence, simulation and other services",N/A,N/A,   
Eckhart2018,N/A,CPS,"HMIW, PLCs, Motor etc. ",DIGITAL_PHYSICAL,DIGITAL_TWIN,N/A,"CPS -Twinnign, Mininet, MatIEC","Simulation, Analss",AML files (domain knowledge + engineer knowledge) manually,YES,   
Eckhart2018a,N/A,ICS,"states of machines, network traffic, system logs, sensor measurements",DIGITAL_PHYSICAL,DIGITAL_TWIN,N/A,"CPS Twinning, CPS State Replication, Mininet","Replicationm, FSM and behavioural models ",AML files (domain knowledge + engineer knowledge) manually,YES,   
Eckhart2018ab,N/A,CPS,"HMIW, PLCs, Motor etc. ",DIGITAL_PHYSICAL,DIGITAL_TWIN,N/A,CPS-Twinning,"Simulation, Analss",AML files (domain knowledge + engineer knowledge) manually,YES,   
Eckhart2019,Cloud,"CPS environment, collobritations, functions, modules objectives, tasks",data availabe (everythng),"DIGITAL_PHYSICAL, DIGITAL_EXPERT",DIGITAL_TWIN,"OPC UA , Aml","CPS Twinning, Mininet","Repolication, Simulation, Analysis",AML files (domain knowledge + engineer knowledge) manually,NO,   
Eckhart2019ab,N/A,"CPS environment, collobritations, functions, modules objectives, tasks",data availabe (everythng),DIGITAL_PHYSICAL,DIGITAL_TWIN,N/A,N/A,"Simulation, Replication",engineering related data (specification files),NO,   
Eckhart2019abcde,N/A,CPS,"sensor data, traffic, system logs, AML","DIGITAL_PHYSICAL, DIGITAL_EXPERT",DIGITAL_TWIN,AML,"CPS-Twinning,Mininet-WiFi","Simulation, Replication, Monitoring, Visualization",AML files (domain knowledge + engineer knowledge) manually,YES,   
Empl2021,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"simulations, replications, and analytics",N/A,NO,   
Erol2020,N/A,"patients, radiology department, Artificial Intelligence-based human biological systems or organs or molecular systems, (physical) processes, people, human body, soldiers","individual and population data, real data","DIGITAL_EXPERT, DIGITAL_PHYSICAL",DIGITAL_SHADOW,N/A,N/A,"simulation, monitor","Digital twins used for this purpose are built on computer-based, or in silico, models
that are fed individual and population data; Semic Health's Digital Body Total has developed the
Digital Twin of Artificial Intelligence-based human biological
systems or organs or molecular systems, based on aggregated
data and medical histories, to help diagnose current medical
conditions and predict possible health problems",NO,   
Fournaris2019,N/A,CPS,data from CPS,DIGITAL_PHYSICAL,DIGITAL_TWIN,N/A,N/A,"analysis, simulation, monitoring",N/A,NO,   
Furness2019,N/A,CPS,real?time data and other sources,"DIGITAL_PHYSICAL, DIGITAL_EXPERT",DIGITAL_SHADOW,N/A,N/A,"replication, monitoring",N/A,NO,   
Gajek2020,N/A,"hardware (USB), physical object,
process, or system, and it can exist in many forms",all the data footprint,"DIGITAL_PHYSICAL, DIGITAL_TWIN",DIGITAL_TWIN,N/A,N/A,"simulation, replication","Creating a Digital Twin within a Blockchain is not different
from the standard approach. The manufacturer of the
physical object issues a cryptographic identifier. The corresponding
certificate attesting the objects attributes is
stored in the blockchain.",NO,   
GamezDiaz2020,"edge, cloud","Player, trainee (athletes)",real-time and historical data,DIGITAL_PHYSICAL,DIGITAL_TWIN,N/A,"MATLAB, C++, scikit-learn, CAFFE and Kinect Software Development Kit","machine learning, analysis, replication, ",N/A,NO,   
Garcia2020,"cloud, edge","physical SSC, CPS","sensor data, models",DIGITAL_PHYSICAL,DIGITAL_TWIN,N/A,N/A,"replication, analysis, simulation, ML","A distributed
digital twins (DDT) approach is proposed. To make
them work in cooperation, knowledge databases should be
equipped, not only with episodic memory consisting of a
series of loosely connected parts or events, but also with
advanced representation constructs and contents that can
be accessed and manipulated to support explanations generated
by embedded intelligent agents, including larger-scale
structures for recording states, plans, actions, and execution
traces.",YES,   
Gehrmann2020,cloud,"products, production process (mentioned in the defintion part), IACS",N/A,DIGITAL_PHYSICAL,DIGITAL_TWIN,"AML,",N/A,"replication, analysis, ","However, the state replication design in [10] is built upon
measurement of input values and that the physical and digital
twin runs functional identical programs or what the authors
refers to as ”passive state replication”.",YES,   
Glawe2020,N/A,manufacturing-execution-system (transportation system and the robots),real-time data and the historical data,"DIGITAL_EXPERT, DIGITAL_PHYSICAL",DIGITAL_TWIN,N/A,N/A,simulation,TODO,YES,   
Grabis2021,DIGITAL_PHYSICAL,"CAN, aspects of the capability delivery",lice data,DIGITAL_PHYSICAL,DIGITAL_TWIN,N/A,DOE,simulation,"The digital twin is based on a model rep-resenting the network. Various types of models including simulation, statistical, and machine learning could be used. The Design-of-experiments (DOE) module is used to specify scenarios to be explored to identify weaknesses and potential threats.",YES,   
Guo2020,N/A,"ICS,","geometrical data, kinematic functionality and logical behavior",DIGITAL_PHYSICAL,DIGITAL_TWIN,N/A,N/A,"Simualtion, analysis",N/A,NO,   
Hadar2020,N/A,"computer network, SCRs",Analytical Attack Graph (AAG)?,DIGITAL_PHYSICAL,DIGITAL_TWIN,N/A,AgiHack (Analytical Attack Graph (AAG)),"Simualtion, analysis",N/A,YES,   
Hammoudeh2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,   
Hau2020,N/A,CPS,N/A,N/A,N/A,N/A,N/A,simulation,N/A,N/A,   
He2019,embedded,actual systems,N/A,DIGITAL_PHYSICAL,DIGITAL_TWIN,N/A,N/A,"monitoring, analysis","The design process of digital twin system
is formulated as follows: First, the adaptive closed-loop SIM is
applied to build the data-driven residual generator based on the
virtual system modeling with unknown parameters of plant models; Second, performance indices for abnormal status diagnosis
are developed to enhance the identification performance of the
process monitoring and diagnosis scheme; Finally, corresponding
to different process faults, optimized control configurations are
designed based on the offline adaptive tuning and online iterative
training to improve the security under faulty conditions.",YES,   
Karlsson2020,N/A,CPS,real world data,DIGITAL_PHYSICAL,DIGITAL_TWIN,N/A,N/A,"replication, simulation",N/A,NO,   
Kind2021,N/A,physical device,N/A,N/A,N/A,N/A,N/A,simulation,N/A,N/A,   
Kruger2021,cloud,physical assest,historical data,DIGITAL_PHYSICAL,"DIGITAL_TWIN, DIGITAL_SHADOW (mentioned diffrent types but mopstley it's about a real DT)","mqtt, json, sql","SLADT, DPWS, REST","simulation, replication, analysis",N/A,N/A,   
Krundyshev2020,N/A,enterprise network infrastructure,N/A,N/A,N/A,N/A,N/A,simulation,N/A,N/A,   
KumarKandasamy2021,cloud,physical micro-grid test-bed; cyber-security test-bed or plant. (ICS plant),N/A,DIGITAL_PHYSICAL,DIGITAL_SHADOW,"mqtt, OPC protocol, mms, goose, mqtt, opc-ua, modbus","SCADA, AMI Meters, Historian, Physical Components and Electrical Connections, PLCs, IEDs and Network Switches, Run-time, IEC61850,Attack Designer and Attack Launcher, GOOSE, SPEEDGOAT",simulation,"The architecture of the DT is shown in Figure. 5. The physical
components in Figure. 1 are simulated on SPEEDGOAT and
the physical signals are transferred using a data-bus to the IEDs/
AMIs which act as the interface between physical and network
components",YES,   
Kummerow2020,edge,power systems,historical and real time data,DIGITAL_PHYSICAL,DIGITAL_TWIN,N/A,"MATLAB, Apache Kafka, SCADA","simulation, analysis, ","The investigation of centralized and decentralized Digital
Twins is done by using a real time Hardware-in-the-Loop simulation
system at control center and substation level, extended
by a numerical analysis system, evaluating all incoming data
into the system.",YES,   
Kummerow2020a,N/A,power systems,N/A,N/A,N/A,N/A,SCADA,"simulation, analysis, monitoring",N/A,NO,   
Laaki2019,N/A,"system (The system comprised of a robotic arm and
HTC vive virtual reality (VR) system connected over a 4G mobile network)","CAD model les, sales documentation and measurement
data,","DIGITAL_PHYSICAL, DIGITAL_TWIN",DIGITAL_TWIN,"TCP, UDP","OpenVR, ","simulation, analysis",N/A,YES,   
Lei2021,N/A,thermal power plant,real time data,DIGITAL_PHYSICAL,DIGITAL_TWIN,N/A,N/A,"simulation, monitoring, analysis","A
digital twin can be decoupled as the three-dimensional (3D)
model, the mathematical model, and the rule model, where
the 3D model looks exactly like the physical system with 3D
modeling technologies, the mathematical model is related to
the mechanisms, kinetics and data of the physical system, and
rule model defines interactions from users and motion control
of a digital twin and the corresponding physical system.",YES,   
Liu2021,N/A,"smart factory, rocket motor, human-robot, manufacturing assets, product","real time data, historical data, sensor data",DIGITAL_PHYSICAL,"DIGITAL_TWIN, DIGITAL_SHADOW (mentioned diffrent types but mopstley it's about a real DT)",N/A,N/A,"simulation, replication, monitoring, analysis",N/A,NO,   
LlopisSanchez2020,N/A,system (Space operation center),"real-world inputs and
environmental parameters",DIGITAL_PHYSICAL,N/A,N/A,N/A,"simulation, replication",N/A,N/A,   
Locklin2020,N/A,"3D printer, ship, parts/ a whole system",data of scenarios ,DIGITAL_PHYSICAL,DIGITAL_TWIN,N/A,N/A,"simulation, analysis",N/A,NO,   
Lopez2021,N/A,smart grid,"sensor data, real time data","DIGITAL_EXPERT, DIGITAL_PHYSICAL",DIGITAL_TWIN,N/A,N/A,simulation,N/A,NO,   
Luan2021,"cloud, edge",physical entity,real-time data,DIGITAL_PHYSICAL,DIGITAL_TWIN,N/A,N/A,"simulation, replication, ",N/A,NO,   
Madni2021,N/A,physical systems,N/A,N/A,DIGITAL_TWIN,N/A,MBSE testbed,"simulation, replication","Just as importantly, the MBSE testbed
construct provides a modeling, simulation, and integration environment for developing
and evaluating digital twins [5].",NO,   
MailletContoz2020,N/A,IoT devices,N/A,DIGITAL_PHYSICAL,DIGITAL_TWIN,N/A,N/A,N/A,N/A,N/A,   
Martins2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Machin learing alg.,N/A,N/A,   
Mills2021,N/A,procduction system,N/A,N/A,N/A,N/A,N/A,replication,N/A,N/A,   
Minerva2020,"edge, cloud",individual physical object,"historical data, ",DIGITAL_PHYSICAL,"DIGITAL_TWIN, DIGITAL_SHADOW (mentioned diffrent types but mopstley it's about a real DT)","MQTT, ",N/A,"monitoring, simulation, replication, analysis","the implementation of a Digital Twin infrastructure requires the
identification, design and implementation of a rich software
architecture in order to fulfill the requirements and support the
expected properties.",YES,   
Mittal2019,N/A,IoT device,N/A,"DIGITAL_PHYSICAL, DIGITAL_TWIN",DIGITAL_TWIN,"MQTT, ",N/A,"simulation, replication, ",N/A,NO,   
Morales2020,N/A,physical system,N/A,N/A,N/A,N/A,N/A,replication,N/A,N/A,   
Moro2021,cloud,physical assets,real-time data (sensor data),DIGITAL_PHYSICAL,DIGITAL_TWIN,N/A,"Constrained Devices Management Platform (CDMP), Eclipse Ditto, ",simulation,N/A,NO,   
Mullet2021,cloud,CPS,real-time and historical data,DIGITAL_PHYSICAL,DIGITAL_TWIN,N/A,N/A,"simulation replication, ","To design more secure CPS, the idea is to use digital
twins in combination with a virtual environment in order
to analyze how the system behaves under attacks.",NO,   
Murillo2020a,N/A,CPS,physical and network data,DIGITAL_PHYSICAL,DIGITAL_TWIN,"AML, SQLite","DHALSIM, WNTR, MiniCPS","simulation, replication, analysis, monitoring",N/A,NO,   
Neethirajan2021,N/A,"pigsty, animals (e.g. cows)","real-time data, sensor data","DIGITAL_EXPERT, DIGITAL_PHYSICAL",DIGITAL_TWIN,N/A,N/A,"simulation, replication, analysis, decision making",N/A,NO,   
OlivaresRojas2021,N/A,devices in a smart grid (smart home),sensor data/ historical sensor data,DIGITAL_PHYSICAL,DIGITAL_TWIN,"JSON, ",N/A,"replication, simulation, ","We develop a DT Framework mainly composed of
a DT Controller. ",YES,   
Pokhrel2020,"cloud, embedded","system, process ","sensor data, historical data, real-time data",DIGITAL_PHYSICAL,"DIGITAL_TWIN, DIGITAL_SHADOW (mentioned diffrent types but mopstley it's about a real DT)",N/A,N/A,"simulation, analysis, replication, monitoring, predection",N/A,NO,   
Pushpa2020,"edge, cloud",physical devices,Real-time data processing,DIGITAL_PHYSICAL,DIGITAL_TWIN,N/A,N/A,"simulate, analysis",N/A,NO,   
Raj2021a,N/A,"different assests/objects (machines, an aerosol drug, Cambridge, a product, patient’s heart)","various real-world data, sensor data, historical data","DIGITAL_PHYSICAL, DIGITAL_TWIN",DIGITAL_TWIN,N/A,N/A,"simulation, replication, ",N/A,NO,   
Ranjbar2020,N/A,hydrographical network,data collected from SCADA,"DIGITAL_PHYSICAL, DIGITAL_TWIN",DIGITAL_TWIN,N/A,"SCADA, Matlab",simulation,"ThedesignoftheDTrequiressomesteps:a)hydraulicmodelofthehydrographicalsystems,b)identificationofthedynamicsofthecontrolleddevicesandc)calibrationofthehydraulicmodel.",YES,   
Rasheed2020a,"cloud, edge","different assests/objects (offshore oil platform, human body, education sector, district heating and cooling network, etc.)","real-time (sensor) data, historical data",DIGITAL_PHYSICAL,DIGITAL_TWIN,N/A,N/A,"simulation, analysis, monitoring, detection, ",N/A,NO,   
Rathore2021,"cloud, edge",different assests/objects,"historical and real-time data, for different industries","DIGITAL_EXPERT, DIGITAL_PHYSICAL",DIGITAL_TWIN,N/A,"Open Simulation Platform, FIWARE, Predix, CNC machine tools control platform IndraMotion
MTX, Beacon, Thingworx, and others; TwinCat, SAP,Codesys, CNC tools, Aspera, and RaySync; ANSYS Twin Builder,MWorks, Siemens NX
software, SolidWorks, Autodesk tools, and FreeCAD; ","monitring, simulation, analysis","The data is fed to the data analysis
and decision-making layer, where AI models, statistical
and probabilistic approaches, or mathematical models are
employed to create the DT-based system or the digital twin itself.",NO,   
Raybourn2018,N/A,physical security systems,"historical and real-time data, sensor data",DIGITAL_PHYSICAL,DIGITAL_TWIN,N/A,"Dante, MILES, ","analysis, simulation","Accurate facility modeling and terrain development are needed for security simulations
in general and to implement a digital twin. Data feeds must be added to reflect
the current situation on the ground along with adding predictive capabilities to this
adaptive model. The site’s digital twin needs sufficient data updates by various
means (e.g., sensor input, updates from responders) to stay synchronized with
physical counterparts, and support response force decisions with real-time status.
Secure facilities usually have a variety of sensors including cameras, fence line
sensors, and radars that can update the digital twin in real time, and this information
can be made immediately available to the entire response force.",NO,   
Reis2020, ,, , ,, , ,,, ,   
Riegler2021,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,   
Rubio2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,   
Saad2020,cloud,cyberphysical networked microgrids,N/A,DIGITAL_PHYSICAL,DIGITAL_TWIN,"MQTT, JSON",AWS,"replication, analysis, detection, monitoring","cloud-based DT platform is implemented to be a centric oversight for the NMG system.
The cloud system hosts the controllers (cyber things) and the
sensors (physical things) into the cloud IoT core in terms of
the IoT shadow. The proposed DT covers the digital replica
for both the physical layer, cyber layers and their hybrid
interactions.",YES,   
Saad2020ab,cloud,physical and cyber layers of the networked microgrids,"historical and real-time data, sensor data",DIGITAL_PHYSICAL,DIGITAL_TWIN,"JSON, MQTT","Amazon Web Services, MATLAB/SIMULINK","monitoring, analysis",N/A,YES,   
Sahal2021,edge,production system (CPPS),"semantic models and operational data (i.e., failure and erroneous data).","DIGITAL_PHYSICAL, DIGITAL_TWIN",DIGITAL_TWIN,"JSON, XML",N/A,"simulation, analysis, prediction","the development of DT needs three
components: (1) an information model that abstracts the specifications of a physical object;
(2) a communication mechanism that transfers bi-directional data between a DT and its
physical counterpart; and (3) a data processing module that can extract information from
heterogeneous multi-source data to construct the live representation of a physical object",YES,   
Semenkov2020,cloud,CPS,"real-time data
about the physical system and provide guidance in real-time.",DIGITAL_PHYSICAL,DIGITAL_SHADOW,NTP,ULCS,simulation,"The design and deployment of digital twins of cyberphysical
systems is an essential and expanding technology",NO,   
Semenkov2021 ,cloud,CPS,"real-world data, simulation or machine
learning models, combined with data analysis",DIGITAL_PHYSICAL,DIGITAL_TWIN,NTP,N/A,"simulation, analysis",initially designed as a system of nested containers. Every container serves as a framework for lower-level components and puts some additional constraint from upper-level requirements onto the container elements,YES,   
Shah2021,N/A,portable table-top sized temperature-controlled system,real-time data,DIGITAL_PHYSICAL,DIGITAL_TWIN,N/A,"Robotic Process Automa-
tion (RPA) and a PLC program, Ditto",Simulation,"In order to successfully establish a DT environment, real
time decision-making along with rapid analysis is an impor-
tant requirement.",YES,   
Shalaginov2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,   
Shoumen2017,edge,CPS,N/A,DIGITAL_PHYSICAL,DIGITAL_TWIN,N/A,avatar,"analysis, monitoring",the process of creating (building) digital twins and the adoption of digital twins may be restricted to an industrial oligopoly. The vast majority of users cannot deploy an army of engineers to create custom digital twins for their exclusive experiments.,NO,   
Stirna,N/A,network and its services,"live data, ARTSS model, Historical data for simulation modeling purposes",DIGITAL_PHYSICAL,DIGITAL_TWIN,N/A,"ARTSS modeling tool, Digital twin target development environment","monitoring, Simulation",The method component defines design of a digital twin according to the capability model.,YES,   
Sugumar2019,N/A,6- stage water treatment plant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,   
Suhail2021,N/A,industrial processes,"sensor data from factory floor,
historical production data acquired from product lifecycle data, and domain knowledge to generate comprehensive
data in the form of models, simulations, replications, or behavioral analytics.",DIGITAL_PHYSICAL,DIGITAL_TWIN,AML,N/A,"simulation, analysis, replication","blockchain-based Digital
Twins (DTs)",YES,   
Suhail2021ab,N/A,industrial processes,"sensor data from factory floor,
historical production data acquired from product lifecycle data, and domain knowledge to generate comprehensive
data in the form of models, simulations, replications, or behavioral analytics.",DIGITAL_PHYSICAL,DIGITAL_TWIN,AML,N/A,"simulation, analysis, replication","different design solutions from different perspectives are presented (for saftes and security: Introducing S&S
mechanisms at the DT design phase can help to lower security and incident-response costs thereby making later
lifecycle phases less prone to errors and incidents [15]. Whereas, S&S rules must be stored and retrieved from the
ledger to ensure their reliability. This further strengthens the rationale for integrating blockchain with DTs)",YES,   
