Citation_Key,RQ4_Challenges_FR,   
Calo2018,"Defining the right “high-level guidance”:Access control policies
were introduced as the general approach for simplifying
the application of access control mechanisms to a divergent
Blue Sky Session: Next Generation Security
Services for Emerging Networks SACMAT’18, June 13-15, 2018, Indianapolis, IN, USA
45
set of use-cases. We need to define a similar concept for
“high level guidance” which will be applicable to various
scenarios and contexts in a general way. The semantics to
be used for high-level guidance needs to be defined. While
that semantics can be defined for each of the different generation
approaches discussed in Section 3, an open challenge
remains that of identifying the abstraction that will create
the concept of the “high level guidance” that will be applicable
to a broad set of use-case scenarios regardless of the
approach used to generate policies.
(2) Defining the right discovery process: Generating the right
access control policy requires each of the resources in the
environment to be aware of the other devices in the environment.
Given the lack of widely adopted standards for
discovery of resources, and the many security exposures
that may result from a flawed discovery process, new discovery
techniques that can provide sufficient security in many
dynamic contexts are needed.
(3) Determining the situational context: The definition of the
situational context, as well as its determination, remains
a hard and open research challenge. Access control needs
to account for not only the other resources that any given
resource interacts with, but also for the resources that may
indirectly use the information provided by that resource.
Understanding the situation on the ground in sufficient detail
to provide workable security is a challenge that can be solved
on a case-by-case basis, but a general formulation remains
an open challenge.
(4) Policy deconfliction without human guidance: When access
control policies are generated by the resources, they may
conflict among themselves, or with other policies that are
imposed on the system to meet other requirements, such
as performance, reliability or availability requirements. In
the presence of a human, such conflicts can be resolved and
deconflicted using the human provided input. Similar algorithms,
which can operate without a human in the loop, need
to be developed.
(5) Controlling emergent behavior: When resources create their
own policies, there is a danger of uncontrolled emergent
behavior [15]. Emergent behavior is behavior shown by a
collection of systems which was not originally designed but
happens due to the dynamic interactions among different intelligent
systems. Such emergent behavior can be controlled,
but the design needs to account for that. The control of
emergent behavior in complete generality remains an open
challenge, but there may be solutions that can be developed
for specific domain of access control.
(6) Learning-related challenges: The approach used by resources
to learn their access control policy has to use some type of
learning approach, which creates a generalization based on
its past experiences, but such learning mechanism has its
challenges. The set of experiences for access control in each
use-case has only a few small data points to draw from,
which means that either existing learning techniques that
use only a few data points need to be used, or new learning
techniques requiring small data for training needs to be actor may manipulate the data so as to force the device to
learn an invalid model which could lead to generation of
insecure access control policies. Solutions to such adversarial
learning in uncontrolled environments need to be developed.
(7) Increase in attack surface. The increase in complexity due
to autonomous generation of policies by devices can lead
to new types of security vulnerabilities and threats, e.g. the
adversarial learning example given above. This could lead to
challenges with established assurance processes in enterprise
and government networks, and the right way to provide
assurance for systems using dynamically generated access
control policies need to be developed.
(8) Power, computation and communication efficiency. While in
the past several years there have been tremendous advantages
in the computational capacity of small devices, devices
that need to learn and manage their own policies may find
themselves unable to use approaches that require specialized
hardware, or significant computational power, e.g. learning
mechanisms based on deep neural networks. For any solution
developed with dynamic access control policies, system
design should incorporate mechanisms that take into account
the limitations on a resource, which usually manifests
itself as limited amount of battery power, computational
capacity or the ability to communicate at high bandwidth
rates.",   
Campolo2020,"Hence, as a future work we plan the deployment of the DT
application as a Docker container, as well as the evaluation
of its memory and CPU footprint when varying the available
processing resources and the number of commuters for a given
ME host to figure out potential scalability issues for the actual
deployment.",   
Castellani2021,"The proposed algorithms are designed to easily incorporate
the expert-feedback therein. However, their evaluation is intentionally
left for future work.",   
Catarci2019,"How this confidence must be computed,
according to the quality of machine learning tasks
involved in DTs and in the mediator for entity resolution, is
a challenging ongoing research task.",   
Chhetri2018,N/A,   
Choi2020,"For future work, we will continue to conduct further research
on the countermeasures proposed earlier in this paper.
Based on the data produced by our framework, future research
on preventative measures would be feasible and aligns well
to the ultimate goal of our framework. As an extension of
our approach, we will conduct further experiments of our
framework on an ICS with a fake PLC or add meaningless
data fields to experiment control data integrity and resiliency.",   
Chukkapalli2021,N/A,   
Cioara2021,N/A,   
Cioroaica2019,"As future work, we would like to extend the monitoring
components so as to address not only the input/output communications
but also intermediate states.",   
CristinaFrancodaSilva2021,"
In future work, we plan to extend our approach
to automatically generate test cases for
the CDT based on common cybersecurity requirements
of ECU software. From the software bill of
materials, we get a list of libraries used and the
deployed versions. We can use this information
to generate fuzz test cases in several ways. The
first and most straightforward way would be to
use specific protocol fuzzers for libraries that
use known protocols. Second, for the open-source
libraries, we can retrieve the interfaces and potentially mine input grammars from the repositories
directly. Third, for commercial libraries, the further
control and data flow analyses on the binaries
can be used for fuzzing. Fourth, we could build a
database of popular libraries, their interfaces and
interesting attach surfaces to fuzz corresponding
tests.",   
Damjanovicbehrendt2018ab,Implementation of previous mentioned concept,   
Damjanovicbehrendt2018abc,N/A,   
Damjanovicbehrendt2019a,N/A,   
Danilczyk2019,"Creating digital twins of individual devices or components
to determine maintenance cycles and service life is valuable;
however, the ability to leverage the digital twin to not only
model the full physical system but also to control, adapt an",   
Dietz2020,"Differences DT concept in domains, misleading ersults when parameters are falsified, Security testing, How to connect DTs? Data Access??",   
Dietz2020a,"Domain difference DT, expert knowledge, lack of data, security testing APT, dependencies between different twins, training",   
Dietz2020abc,"One impact of DTs concerns
the improvement in interconnectivity, especially within
supply chains, where research should not be limited to a
single firm’s perspective but rather take a system-of-systems
approach. Another potential for enterprises is the
closure of feedback loops along and the coherent linkage
between the lifecycle phases of the asset. Here, the gain of
new insights can lead to a win-win situation among the
involved parties. Currently, very little is known about
potential data-driven business models, their power of digital
disruptiveness and pricing strategies for DT services.
Research can contribute by identifying the strategic role of
DTs for firms and its position in digital transformation, not
only from the perspectives of companies owning the DTs
but also from third parties contributing to the resources.
Nevertheless, first evidence indicates that DTs can give a
cutting edge for next-generation virtual asset management.",   
Eckhart2018,"As future work, we want to focus on the replication mode of
the framework, i.e., mirroring the state of physical systems to their
corresponding digital twins. To validate our approach, we plan to
launch a MITM attack in the real environment for the purpose of
detecting deviations in the behavior of digital twins to spot attacks
as early as possible",   
Eckhart2018a,"While the results of this work are promising, there are still some
challenges to be addressed to improve the state replication approach.
For example, depending on the nature of the device or caused by
inaccuracies of the specification, inferring the device’s characteristics
based on the role definition may be infeasible. In this case,
users are required to either add details about stimuli or explicitly
label inputs as stimuli. Another possible option, yet more complex
to implement, may be to develop a code analyzer that automatically
inspects all programs, which are referenced in a CPS’s specification,
for the purpose of stimuli identification. Furthermore, as our
approach focuses only on states of software programs, support for
replicating stimuli that manifest themselves in the form of analog
signals is lacking. Thus, analog values that constitute stimuli must
be converted to a binary representation, before they can be replicated
in the virtual environment. However, considering that CPSs
typically consist of analog-intensive components, further research
in this area is worth pursuing.",   
Eckhart2018ab,"For future work, we intend to focus on
the simulation aspects of digital twins
by developing a feature that would
allow users to recover historical states
of digital twins and replay their execution.
In this way, certain scenarios can
be repeated for further analysis, e.g., to
understand the propagation of malware",   
Eckhart2019,"In the future,more research is
definitely required to investigate the practicality of the concept for security-enhancing
use cases.",   
Eckhart2019ab,N/A,   
Eckhart2019abcde,"Further
development effort is required to improve the visualization
of digital twins and to bring the record-and-replay feature
to completion. Ideally, in the future, the introduced concept
could be taken even one step further: instead of providing only
decision support, the digital-twin framework could automate
the detection and mitigation of vulnerabilities, similar to a
cyber reasoning system.",   
Empl2021,"In the future, we will work on implementing a prototype of this
security analytics service. The design of a specific implementation
can be structured in several ways.We recommend a design based on
virtual machines, dockerized applications, and specific connectors
for a straightforward adoption and application of the capability
modules. As we admit in the introduction, data is vital to generate
wisdom. By bundling the data sources and types of data (stream
vs batch) required to fulfil a particular capability module (e.g., the
descriptive module takes batch data), analytical techniques can be
instantiated. Thus, each capability module should be represented by
one virtual machine. The virtual machines can be interconnected
with dedicated bridges to accomplish the dependencies between
the capability modules. Each of the virtual machines is running
on Docker to establish containerized and modular applications.
There are many open-source software and tools for security analytics
applications that need to be categorized depending on their
functionality, e.g., Suricata is an intrusion detection tool and is,
therefore, available in the detective module. In this context, the
security analytics repository is considered a collection of dockerized
applications. Besides provisioning dockerized applications, the
security analytics repositories need to yield connectors for each
application to bind multiple applications’ sinks and sources. Additionally,
machine learning models can be shared across the security
analytics repository and integrated into the desired capability module.
Those machine learning models might be integrated into the
predictive module (stream data) and the descriptive module (batch
data). The different analytical techniques can be tagged inside the
security analytics repository (e.g. for detective module) and ranked
by other users. These mechanisms are resulting in transparency as
to which methods are successfully contributing to the cybersecurity",   
Erol2020,". In the future, in
addition to the health field mentioned in this study, detailed
studies can be carried out on Digital Twin technology from
different perspectives such as aerospace, military, education,
security systems. Besides, studies can be conducted for more
specific application areas that have not been done yet in the
field of health.",   
Fournaris2019,"The first direction involves the formal description methods for the principal,
as well as for the emerging composable system properties and the exploitation
of automatic executable model transformation and component code generation
methods and tools in order to create security monitor(s) from a distributed system
specification.Then, there is the quest for the consolidation, or even more, the standardization
of basic run-time frameworks, component libraries, and subsystem interfaces that
will ease the deployment of interoperable customized components into generic,
domain-specific solutions and architectural frameworks",   
Furness2019,N/A,   
Gajek2020,"Further
research is recommended to demonstrate the technical feasibility
of implementation (for USB device management) in
a factory environment.",   
GamezDiaz2020,N/A,   
Garcia2020,N/A,   
Gehrmann2020,"Below, we discuss the most important future work:
 Performance: We have here made first proof of concept
of the architecture. In order to see the effect of the architecture on different platform and production scenarios,
more performance evaluations on different platform, with
more complex digital twin state models and with larger
amount of production nodes are needed.
 Intrusion detection: In our security architecture, we
have only show how on principle level how to integrate
intrusion detection at the boarder to the virtual domain. It
is left for future research to design and integrate intrusion
detection in a fully working system.
 Access control: The architecture allows for advanced
access control in the virtual domain. The main advantage
with this approach is that this can be supported without
affecting the production domain at all. It remains
to design and evaluate this approach in a full system
implementation of the architecture.
 Formal security analysis: We have proven the consistency
of the proposed synchronization protocol and
showed that the security of the protocol depends on the
security of the underlying used secure channel. Formal
analysis of the security of the complete system design
and all protocols are left for future work.
 Security analysis services: Apart from IDS and access
control enforcement in the virtual domain, additional
security analysis services may be supported as virtual
components as we showed in our architecture design. This
include services such as virus scan, DoS prevention etc.
The design and evaluation of such services is left to future
research as well.",   
Glawe2020,N/A,   
Grabis2021,"The digital twin component is introduced in the paper. However, the digital twin development process is still highly case specific. Formalization of the digital twin de-velopment and exploration processes in an area for future research. It should also be considered in relation to knowledge reuse in the form of patterns as suggested by the CDD methodology.",   
Guo2020,"proposes to explore an ICS test platform based on DT technology, which allows us to monitor the running state
of ICS and to verify any security measures before it is deployed in the real environment.
However, this paper also notes that although TC technology has been applied in the",   
Hadar2020,"In future work we intend to explore further security controls’
interdependence and scaling of massive networks in heterogenous
platforms. Additionally, we intend to expand the landscape
of vulnerabilities and types of attack tactics to domains
such as the Internet of Things (IoT), application security in enterprise
resource planning (ERP) systems, different operational
technology (OT) devices, and embedded systems.",   
Hammoudeh2020,N/A,   
Hau2020,"Although the modeling approach mayworkwell for a simple CPS
such as SWaT, there might be challenges with modeling more complex
and large scale CPS due to the increased inter-dependencies
of subsystems and non-linear dynamics. This could potentially be
resolved by using composition of smaller models of subsystems
and using linear approximation for the non-linearity in dynamics.
It remains as part of future work for the evaluation of the applicability
of modeling approach on other CPSs (i.e. Electric Power
Grid Systems where generators, switches/breakers and batteries
are analogous to pumps, valves and tanks).
Further work also remains for the water treatment testbed model
to study the improvement in resilience from implementing the recommended
design changes. The current work looks into the cascading
effects of attacks within a system, however, CPSs are usually
not independent systems but are connected systems-of-systems
(i.e. water treatment plant is connected to a water distribution network).
Future research could focus on evaluating cascading effects
of attacks on inter-connected systems.",   
He2019,"Concerning the future research, more accurate fault
diagnosis method would be focused, as well as an efficient distributed
digital twin approach should be developed to improve
the practical application performance of systems.",   
Karlsson2020,"There is still work to be done when it comes to the pure software to make it as complete as possible,
this has been the second most important part since we wanted to focus on the research first and proof
of concept, which we argue that we have achieved as discussed in Chapter 8 and Chapter 9 . But below
follow some important and interesting steps to further the research and develop the software and by
that achieve an even better and more complete representation compared to our extended definition of a
digital twin.",   
Kind2021,N/A,   
Kruger2021,"A key challenge exists in the development of DT software. DTs are globally meant to become middleware interfacing all sorts of applications with the manufacturing system.Further challenges relate to achieving real-world impact through industrial applica-tions of DTs. In addition to a lack of benchmarks and standards, there is currently still a shortage of real-world, industrial case studies and applications.",   
Krundyshev2020,N/A,   
KumarKandasamy2021,N/A,   
Kummerow2020,"Future work includes the
integration and validation of the approach for different cyberphysical
contingencies and test scenarios, based on commonly
known IEEE and Cigré benchmark models. Finally, results
have to be analyzed regarding the performance benefits by the
utilization of DDMs in power systems. Respective methods, results and conclusions regarding DT tuning algorithms, DT interaction
and performance tests are planned for further publication.",   
Kummerow2020a,"Future work comprises the execution of simulation studies
for a defined transmission power system topology to evaluate
the performance of the dynamic system monitor and data
stream assessment components. For multiple cyber-physical
contingencies a correct discrimination between different
physical events (e.g. outages, short-circuits) and cyber events
(e.g. false data injections) as well as a correct assessment of
the cyber-physical situation should be achieved.",   
Laaki2019,"The development of this prototype system made us
painfully aware of the fact that this sort of combination of
different engineering elds in novel applications provides
plenty of complexity in the development work. Engineers and
designers in the elds of robotics, mechatronics, computer
sciences, network development and game development each
exploit their own tools and methods that are built with their
own demands. This is a major obstacle in the realization of
the Industry 4.0 and similar concepts and requires research and consideration in our increasingly cross-disciplinary
world.",   
Lei2021,"There are remained issues such as cyber attacks and communication
constraints in the web-based digital twin thermal
power plants, which can potentially be addressed using approaches
introduced in networked control systems.
In the future, for such a huge and complicated system, multidiscipline
and inter-discipline collaboration is required for a
fully functional digital twin thermal power plant.",   
Liu2021,N/A,   
LlopisSanchez2020,N/A,   
Locklin2020,N/A,   
Lopez2021,"Ahead lies
an arduous path that involves various efforts in
terms of standardization and information security,
in conjunction with deep research into machine learning specifically applied to critical infrastructures
and smart cities.",   
Luan2021,N/A,   
Madni2021,"Future directions include the creation of formal ontologies and metamodel [24] to
guide systems integration, human–systems integration [26,27], adversarial modeling, introduction
of digital twins at the system, and subsystem levels [5], reinforcement learning
techniques to cope with partial observability and uncertainty [17], support for distributed
simulation standards (i.e., IEEE 1278.2-2015), and ontology-enabled reuse [28,29] and
interoperability [30].",   
MailletContoz2020,N/A,   
Martins2020,"We are aware that the search string is very limited,
but it is enough to look for the particularities of ontologies, like those presented
by Leslie Sikos [44]. Therefore, we know the necessity of new further steps on
refining the used terminology",   
Mills2021,"Future work will extend MORRIGU and our curated dataset to explore further evasion
strategies, including how bespoke simulated networking access (e.g., INetSim) could be incorporate for
anti-evasion detection beyond “catch-all” and “block-all” rules, and also studying patterns and trends in
malware evasive characteristics over time in conjunction with static analysis techniques.",   
Minerva2020,"It is difficult to predict the future of the Digital Twin concept;
however, it is a concept that is already having a significant
impact in the manufacturing industry and in IoT, and it has the
possibility to have a very large impact on the lives of many
people in the future.",   
Mittal2019,N/A,   
Morales2020,"Future work will focus on
extending and detailing sub-optimal implementations of DSO and
their realized and potential impacts of software development.",   
Moro2021,"The next steps for the CDMP development include customer trials scheduled to start in May 2021. The DMP will incorporate the systems of the ongoing project i-Trace2, and Innovate UK project with Costain, C?sco, the University of Warwick, and Senseon. i-Trace is an end-to-end cybersecurity solution using DT, blockchain, and artificial intelligence to provide a resilient security framework to IoT devices.",   
Mullet2021,N/A,   
Murillo2020a,"DHALSIM has a few limitations that are inherited from WNTR,
MiniCPS, and the co-simulation environment we created. In the
first place, WNTR provides limited water quality analysis capabilities,
meaning that we cannot (at this stage) thoroughly simulate the
impact of cyber-physical attacks on water quality processes. In the near future, we plan to take three research directions.
First, develop a module that imports EPANET / WNTR files to build
automatically the Mininet topology and ICS equipment scripts. Second,
harness the data generated by DHALSIM to develop off-line
and on-line intrusion detection and localization algorithms. Third,
adapt DHALSIM to be used as a Digital Twin that replicates the
system state of existing physical testbeds, such as WADI, iTrust’s
water distribution testbed [1]. This would include developing functionalities
for acquiring data and controlling the testbed in real
time.",   
Neethirajan2021,"There is a need for more evidence,
facts, and case studies of this digital twin technology to encourage widespread adoption
among livestock farmers.",   
OlivaresRojas2021,"As future works, it is intended to build a DT
display and controller system with a Graphical User
Interface (GUI) as well as expand the catalog of
physical objects within SH.",   
Pokhrel2020,"Our future work will focus on the development of
digital twin approaches for cybersecurity incident prediction. We
will build our approach based on the existing methods and tools
identified through the MLR.",   
Pushpa2020,"As the future beckons for edge/fog
clouds for realizing and running real-time and insights-driven applications
and services, the role and responsibility of having and using digital twins
for all the participating physical twins are bound to go up in the days to
come. Further on, the analytical capabilities of both physical and digital
twins come handy in making edge/fog devices (physical twins) adaptive,
adjustive and autonomous.",   
Raj2021a,"Thus, with the cool synchronization with
blockchain, the digital twin domain is to flourish in the years to come.",   
Ranjbar2020,"Futureworkswillconsistinimprovingthemodelsoftheoutletgates and thanks to the DT, it is now possible to test the advanced control and optimization algorithms such as
model predictive controller.",   
Rasheed2020a,"While the denition of a digital twin is unambiguous,
what is not a digital twin is a difcult question to answer.
There is a need to quantify the degree to which a digital twin
resembles its physical counterpart both in terms of appearance
and behaviour.",   
Rathore2021,"The rapidly increasing DT popularity and scope, as well as the
involvement of IoT, big data, and AI technologies, broaden
the research challenges of digital twinning. These challenges
are categorized in the following five areas: data collection, big data challenges, data analysis, dt standardization challenges, security and privacy issues",   
Raybourn2018,"While the addition of digital twin technology could greatly enhance cyber-physical
security systems, it may also present significant challenges for physical security
systems and personnel.
For example, a survey of different-sized companies found that many organizations
are not prepared for modern technical challenges. Digital twins present unique
modern, socio-technical challenges; ",   
Reis2020, ,   
Riegler2021,"Our future
work includes systematic analysis and evaluation of mode switching protocols and an investigation of how to apply
them to security, especially in the context of IACSs. First findings of a systematic literature review on mode switching
from a security perspective are presented in [20]. In addition, we plan a prototypical implementation for further
evaluation and to demonstrate the effectiveness of mode switching for increased security.",   
Rubio2019,"There are still various areas that need of further research, such as the applica- bility and integration of proactive defense mechanisms, the inte- gration of defense mechanisms into IIoT and cloud computing de- ployments, and the advent of the Industry 4.0. Moreover, regarding APTs, it is imperative to (i) incorporate the knowledge of existing APTs and APT stages into the validation of defense mechanisms, and (ii) facilitate the integrability and usability of these defense mechanisms, so they can be easily included in more critical infras- tructures.",   
Saad2020,"Future research of this work will
consider the fusion of deep learning and LO to enhance the
speed, accuracy and predictability of the attacks.",   
Saad2020ab,"The authors are currently developing a combination of deep learning and the DT to implement a wide-area situational awareness system by considering
the stability, reliability and resiliency of the globally interconnected power system.",   
Sahal2021,"semantic capabilities (e.g., knowledge graphs) could be explored to represent complex cyber-physical production systems; Some semantic work could be done to describe the relationships
between the DTs models using model-to-model, e.g., OOP, RDF, and OWL in the complex DT systems heterogeneous DTs types; For flexibility 
and productivity, DTs should be used to balance and increase processing during work; Furthermore, blockchain technology could be combined with DTs collaboration to
guarantee transparency, decentralized data storage, data sharing, peer-to-peer communication,
secure and trusted traceability, and scalability.",   
Semenkov2020,N/A,   
Semenkov2021 ,"We plan to continue working
with the digital twin at other stages of the ULCS lifecycle. The main focus will be on improving
the synchronization mechanisms of the digital twin and the real system, increasing
the accuracy of the models, first of all, in dynamical and temporal characteristics, and the
development of techniques that allow diagnostics and prognostics of the behavior of a real
system on a digital twin.",   
Shah2021,"Some of the limitations are as follows:
a) The OpenFOAM solver only takes in one input and
computes one output before it is ready to take another
input. We require the solver to take in multiple values
and compute output in real time. Therefore, the PDE
solver built into OpenFOAM is not ecient enough to
reduce the overall computation cost.
b) In the simulation model, we can only compute one
layer of heat transfer at a time. There is no control
loop built into the SimFlow software that would allow
us to run the hot subsystem and cold subsystem si-
multaneously. A separate setup is required to execute
the same.
c) The UI Path Studio only works on windows based
system while the Physical model was designed on a
Linux based system. This increases the overall com-
putation cost of the system as certain additional steps
are required to establish prompt communication be-
tween the digital and physical systems.",   
Shalaginov2019,N/A,   
Shoumen2017,N/A,   
Stirna,N/A,   
Sugumar2019,"As part of future work, we plan to develop a methodology
to automate and scale this process to larger installations than
SWaT.",   
Suhail2021,"longstanding challenges. For
instance,
 Due to the black-box nature of AI models, decisions
made by the resulting systems suffer from a loss of
transparency and comprehensibility, hence can lead to a
negative impact on the trustworthiness of the system [13].
Hesitation is even higher in safety-critical CPSs where explainability
becomes crucial as slight dysfunction of AIbased
systems may lead to erroneous decisions resulting
in endangering human life or economic disaster.
 After deployment in the real world, ML models are expected
to perform deftly on unseen testing data. However,
CPS underpinned by AI are vulnerable to adversarial
perturbations under which wrongdoers try to morph its
adversarial input data to augment the misclassification
rate in the ML model. Attackers may begin with AI
reconnaissance (i.e., observe the model’s behavior and
learn the decision logic or knowledge bases to morph the
malicious payloads) and, without being detected, can feed
their adversarial data to launch data exfiltration attacks.",   
Suhail2021ab,"challenges: Need for Explainable AI, Data Scarcity, Bias Problem, Model Errors, Social and Juristic Challenges of AI; These challenges open new avenues for future research in these directions. Fig. 9 presents the detailed taxonomy
of the current and future research and deployment challenges for blockchain-driven DTs. We summarize the
challenges along with causes and possible solutions in Table 3.",   
Sundaram2020,"Future work will focus on development of strategies to insert the noise in a manner that do
not impact system behavior, and hence produce no variations in its optimal control behavior.",   
Tange2020,"Open challenges include practical federation
frameworks, resource offloading, and resilience",   
Tao2019,"However, as the DT is an emerging technology, there
remain many challenges on technologies, tools, infrastructures, standards,
etc. Hence, substantial development is still required for the adoption and
application of the DT.",   
Tauber2018,N/A,   
Terziyan2021,"Therefore, as the immediate goals
for the future research would be constructing and testing GAN architectures with multiple human and AI
components, i.e., with the embedded collective intelligence and checking the potential impact of such digitalized
collaborative intelligence for a variety of industrial problems",   
Trneberg2021,"In the future, we will extend our threat model to also cover alternative
attacks, but here we limit our analysis to attacks on a.",   
U.Khan2021,"FUTURE DIRECTIONS: Isolation Between Twins-Based Services, Mobility Management for Edge-Based Twins, Digital Twin Forensics",   
Ugarte2020,One of the main challenges is the lack of standards for digital representation.,   
Veledar2019,N/A,   
Wu2020,"Therefore, in future work, a way has to be found for the collaborative and
consistent description of needs between different stakeholders,
as well as their validation and evolution. Therefore, the future research focus is to connect the dots
between the existing isolated technologies as they are not consistently
aggregated, which requires a multidisciplinary system
integration that across lifecycle phases. But what useful data fromCPPSs can be integrated effectively
into EIS has not been addressed and need to be investigated in
future work. One future direction concerning
the branch of the additional information in the concept map
is to investigate how to extract additional information to
improve the EISs in terms of business processes and its evolution. This level covers all three dimensions of integration.
Concerning the branch of decision making in the concept
map, one future direction of the organizational integration is
to figure out how to decentralize part of the decisions that are
currently made in the EISs field to CPPSs’ components (such
as smart machines and smart products).",   
Xinxin2019,"The AML and the OPC UA are proposed to create the highly detailed model. The reason we
use the AML and OPC UA, and the feasibility are represented. As for the specific
modeling tool, this will be investigated in future.",   
Xu2020ab,N/A,   
Xu2021,"In future work, we plan to conduct more experiments on
real-world CPS of various domains to evaluate the scalability
and generalization of ATTAIN. We will also consider exploring
digital twins for more challenging tasks, such as detecting
attacks targeting multiple CPS at the same time, which requires
developing an integrated digital twin model. We also want
to investigate how digital twins can be extended to provide
additional advanced analyses during the operation of CPS such
as predicting uncertainties and non-functional properties.",   
Zhu2020a,N/A,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
,,   
