BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
Journal Article,,Becue2018,"Becue, Adrien; Fourastier, Yannick; Praca, Isabel; Savarit, Alexandre; Baron, Claude; Gradussofs, Baptiste; Pouille, Etienne & Thomas, Carsten",Cyberfactory#1 — Securing the Industry 4.0 with Cyber-ranges and Digital Twins,2018 14th IEEE International Workshop on Factory Communication Systems (WFCS),,,,1--4,2018,,,,,,,,,,,,,,,,,,,data/pdfs/Becue2018 - Cyberfactory#1 — Securing the Industry 4.0 with Cyber Ranges and Digital Twins.pdf,
Journal Article,,Becue2020,"Bécue, Adrien; Maia, Eva; Feeken, Linda; Borchers, Philipp & Praça, Isabel",A New Concept of Digital Twin Supporting Optimization and Resilience of Factories of the Future,Applied sciences-basel,10,13,,4482,2020,,,,,,,,,,,,,,,,"Featured Application This work was elaborated in the frame of a collaborative innovation project named CyberFactory#1 which aims at enhancing optimization and resilience of Factories of the Future. Its outcomes will be tested and demonstrated in application to industrial use-cases provided by eight pilot factories across Europe in sectors such as aerospace system manufacturing, industrial machine fabrication, consumer electronics and textile industry. One of these use-cases is provided as an illustration of the approach in the field of Aerospace System Manufacturing. In the context of Industry 4.0, a growing use is being made of simulation-based decision-support tools commonly named Digital Twins. Digital Twins are replicas of the physical manufacturing assets, providing means for the monitoring and control of individual assets. Although extensive research on Digital Twins and their applications has been carried out, the majority of existing approaches are asset specific. Little consideration is made of human factors and interdependencies between different production assets are commonly ignored. In this paper, we address those limitations and propose innovations for cognitive modeling and co-simulation which may unleash novel uses of Digital Twins in Factories of the Future. We introduce a holistic Digital Twin approach, in which the factory is not represented by a set of separated Digital Twins but by a comprehensive modeling and simulation capacity embracing the full manufacturing process including external network dependencies. Furthermore, we introduce novel approaches for integrating models of human behavior and capacities for security testing with Digital Twins and show how the holistic Digital Twin can enable new services for the optimization and resilience of Factories of the Future. To illustrate this approach, we introduce a specific use-case implemented in field of Aerospace System Manufacturing.",,,data/pdfs/Becue2020 - A New Concept of Digital Twin Supporting Optimization and Resilience of Factories of the Future.pdf,
Conference Proceedings,978-3-031-07478-3,Becue2022,"B{\'e}cue, Adrien; Praddaude, Martin; Maia, Eva; Hogrel, Nicolas; Pra{\c{c}}a, Isabel & Yaich, Reda",Digital Twins for Enhanced Resilience: Aerospace Manufacturing Scenario,,,,,107--118,2022,Cham,,,Advanced Information Systems Engineering Workshops,,,,"Horkoff, Jennifer; Serral, Estefania & Zdravkovic, Jelena",Springer International Publishing,,,,,,,"European manufacturing industry faces a growing cyber-threat landscape which increasingly involves sophisticated nation-state- sponsored actors. Moreover, while the ongoing evolution towards more connected production environments generates significant benefits in productivity, it also creates more complex risk scenarios. In this work we show how Digital Twins enhance the resilience and improve the overall security posture of manufacturing industry, based on a highly critical scenario unfolding in the aerospace sector.",,,,
Book Chapter,,Biffl2019,"Biffl, Stefan; Eckhart, Matthias; Lüder, Arndt & Weippl, Edgar",Conclusion and Outlook on Security and Quality of Complex Cyber-physical Systems Engineering,,,,,497--507,2019,,,,Security and Quality in Cyber-Physical Systems Engineering,,,,"Biffl, Stefan; Eckhart, Matthias; Lüder, Arndt & Weippl, Edgar",,,,,,,,"Typical assumptions for research in quality and security assurance and improvement for small software-intensive systems may not hold for long-running technical systems, such as critical infrastructure or industrial production systems. Therefore, researchers in quality and security assurance and improvement can benefit from better understanding challenges on quality and security assurance and quality improvement coming from the engineering of Complex Cyber-Physical Systems based on the use cases and requirements presented. This chapter summarizes and reflects on the material presented in this book regarding challenges and solutions for Security and Quality of Complex Cyber-Physical Systems (C-CPS) Engineering. Contributions in this book consider requirements, risks, and solutions to improve the security and quality of C-CPS. Engineers and project managers will be enabled to identify quality and security challenges they should consider. In addition, the chapter describes measures to assist the involved staff in handling the identified challenges. The chapter discusses the contributions of the chapters to the Research Questions raised in Chap.  1 of this book.",,,data/pdfs/Biffl2019 - Conclusion and Outlook on Security and Quality of Complex Cyber Physical Systems Engineering.pdf,
Book Chapter,,Biffl2019a,"Biffl, Stefan; Eckhart, Matthias; Lüder, Arndt & Weippl, Edgar",Introduction to Security and Quality Improvement in Complex Cyber-physical Systems Engineering,Security and Quality in Cyber-Physical Systems Engineering,,,,1--29,2019,,,,Security and Quality in Cyber-Physical Systems Engineering,,,,"Biffl, Stefan; Eckhart, Matthias; Lüder, Arndt & Weippl, Edgar",,,,,,,,"Providing Complex Cyber-Physical Systems (C-CPSs) more efficiently and faster is a goal that requires improvements in engineering process for producing high-quality, advanced engineering artifacts. Furthermore, information security must be a top priority when engineering C-CPSs as the engineering artifacts represent assets of high value.  This chapter overviews the engineering process of C-CPSs, typically long-running technical systems, such as industrial manufacturing systems and continuous processing systems. This chapter also covers major areas of requirements that include: (a) processes with intensive generation of engineering artifacts; (b) challenges regarding dependencies and complexity of engineering artifacts, stemming from variants of a product and the associated production process for a family of products; (c) management of model and consistency rules for dependencies between model parts; (d) the internationalization of the engineering process with partners on different levels of trust; and (e) the security of the engineering processes, such as confidentiality of engineering plans, and the security of the systems to be engineered, such as security aspects in the design phase.  For selected requirement areas, the chapter discusses several approaches for quality improvement from business informatics that addresses important classes of requirements, but introduces new complexity to the engineering process. Therefore, the chapter reviews information security improvement approaches for engineering processes, including the consideration of new security requirements stemming from risks introduced by advanced informatics solutions. Finally, the chapter provides an overview on the book parts and the contributions of the chapters to address advanced engineering process requirements.",,,data/pdfs/Biffl2019a - Introduction to Security and Quality Improvement in Complex Cyber Physical Systems Engineering.pdf,
Conference Proceedings,,Bitton2018,"Bitton, Ron; Gluck, Tomer; Stan, Orly; Inokuchi, Masaki; Ohta, Yoshinobu; Yamada, Yoshiyuki; Yagyu, Tomohiko; Elovici, Yuval & Shabtai, Asaf",Deriving a Cost-effective Digital Twin of an Ics to Facilitate Security Evaluation,Computer Security,11098,,,533--554,2018,,,,Computer Security,,,Lecture Notes in Computer Science,"López, Javier; Zhou, Jianying & Soriano, Miguel",,,,,,,,"Industrial control systems (ICSs), and particularly supervisory control and data acquisition (SCADA) systems, are used in many critical infrastructures and are inherently insecure, making them desirable targets for attackers. ICS networks differ from typical enterprise networks in their characteristics and goals; therefore, security assessment methods that are common in enterprise networks (e.g., penetration testing) cannot be directly applied in ICSs. Thus, security experts recommend using an isolated environment that mimics the real one for assessing the security of ICSs. While the use of such environments solves the main challenge in ICS security analysis, it poses another one: the trade-off between budget and fidelity. In this paper we suggest a method for creating a digital twin that is network-specific, cost-efficient, highly reliable, and security test-oriented. The proposed method consists of two modules: a problem builder that takes facts about the system under test and converts them into a rules set that reflects the system’s topology and digital twin implementation constraints; and a solver that takes these inputs and uses 0–1 non-linear programming to find an optimal solution (i.e., a digital twin specification), which satisfies all of the constraints. We demonstrate the application of our method on a simple use case of a simplified ICS network.",,,data/pdfs/Bitton2018 - Deriving a Cost Effective Digital Twin of an Ics to Facilitate Security Evaluation.pdf,
Book Chapter,,Bore2020,"Bore, James",Insider Threat,,,,,431--450,2020,,,,"Cyber Defence in the Age of AI, Smart Societies and Augmented Humanity",,,,"Jahankhani, Hamid; Kendzierskyj, Stefan; Chelvachandran, Nishan & Ibarra, Jaime",,,,,,,,"This chapter discusses the threat arising from within the organisation, whether from negligence, malice, or exploitation by an external party. The trusted insider is one of the greatest challenges facing organisations today. The analysis considers the balance to be struck between allowing insiders access and privileges to show trust and increase productivity, and securing that access at the cost of good will and with an increased risk of workarounds being found, placing vulnerabilities at the heart of an organisation’s policies and processes. The tactics of social engineering and exploitation of human psychology to compromise or completely bypass technical and procedural security measures are considered, along with the effectiveness of training and difficulties of raising cultural awareness of security on a long term basis in a rapidly changing technological landscape.",,,data/pdfs/Bore2020 - Insider Threat.pdf,
Conference Proceedings,,Brockhoff2021,"Brockhoff, Tobias; Heithoff, Malte; Koren, Istvan; Michael, Judith; Pfeiffer, Jerome; Rumpe, Bernhard; Uysal, Merih Seran; Van Der Aalst, Wil M. P. & Wortmann, Andreas",Process Prediction with Digital Twins,,,,,182--187,2021,,,,2021 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C),,,,,,,,,,,,,,,,
Conference Proceedings,,Calo2018,"Calo, Seraphin; Verma, Dinesh; Chakraborty, Supriyo; Bertino, Elisa; Lupu, Emil & Cirincione, Gregory",Self-generation of Access Control Policies,,,,,39–47,2018,,,,Proceedings of the 23nd ACM on Symposium on Access Control Models and Technologies,,,SACMAT '18,,,,,,,,,"Access control for information has primarily focused on access statically granted to subjects by administrators usually in the context of a specific system. Even if mechanisms are available for access revocation, revocations must still be executed manually by an administrator. However, as physical devices become increasingly embedded and interconnected, access control needs to become an integral part of the resource being protected and be generated dynamically by resources depending on the context in which the resource is being used. In this paper, we discuss a set of scenarios for access control needed in current and future systems and use that to argue that an approach for resources to generate and manage their access control policies dynamically on their own is needed. We discuss some approaches for generating such access control policies that may address the requirements of the scenarios.",,"AI, autonomic access control, IoT, machine learning, dynamic security",data/pdfs/Calo2018 - Self Generation of Access Control Policies.pdf,
Conference Proceedings,,Campolo2020,"Campolo, Claudia; Genovese, Giacomo; Molinaro, Antonella & Pizzimenti, Bruno",Digital Twins at the Edge to Track Mobility for Maas Applications,,,,,1–6,2020,,,,2020 IEEE/ACM 24th International Symposium on Distributed Simulation and Real Time Applications (DS-RT),,,DS-RT '20,,,,,,,,,"The research into wireless communication and mobile computing is called to formulate novel smart mobility solutions to improve the quality of a citizen's life in smart cities. In such a context, in this paper we elaborate on the role of technologies like multi-access edge computing (MEC), Internet of Things (IoT) messaging protocols, such as Constrained Application Protocol (CoAP) and Message Queue Telemetry Transport (MQTT), and virtualization (i.e., digital twins) in the design of a framework enabling the collection and processing of data about the mobility of commuters and public transport vehicles. Such data have the purpose to feed mobility monitoring and transport planning solutions. A Proof-of-Concept (PoC) is developed to validate the framework under realistic experimental settings. Results in terms of efficiency and effectiveness of the considered messaging protocols are reported.",,"digital twin, multi-access edge computing, CoAP, MaaS, MQTT, OMA LwM2M",data/pdfs/Campolo2020 - Digital Twins at the Edge to Track Mobility for Maas Applications.pdf,
Journal Article,,Castellani2021,"Castellani, Andrea; Schmitt, Sebastian & Squartini, Stefano",Real-world Anomaly Detection by Using Digital Twin Systems and Weakly Supervised Learning,arXiv preprint arXiv:2011.06296,17,7,,4733--4742,2021,,,,,,,,,,,,,,,,,,,data/pdfs/Castellani2021 - Real World Anomaly Detection by Using Digital Twin Systems and Weakly Supervised Learning.pdf,
Conference Proceedings,,Catarci2019,"Catarci, Tiziana; Firmani, Donatella; Leotta, Francesco; Mandreoli, Federica; Mecella, Massimo & Sapio, Francesco",A Conceptual Architecture and Model for Smart Manufacturing Relying on Service-based Digital Twins,,,,,229--236,2019,,,,2019 IEEE International Conference on Web Services (ICWS),,,,,,,,,,,,,,,data/pdfs/Catarci2019 - A Conceptual Architecture and Model for Smart Manufacturing Relying on Service Based Digital Twins.pdf,
Misc,,Cathey2021,"Cathey, Glen; Benson, James; Gupta, Maanak & Sandhu, Ravi",Edge Centric Secure Data Sharing with Digital Twins in Smart Ecosystems,,,,,,2021,,,,,,,,,,,,,,,,,,,data/pdfs/Cathey2021 - Edge Centric Secure Data Sharing with Digital Twins in Smart Ecosystems.pdf,
Book Chapter,,Chen2022abc,"Chen, Yu; Zhang, Ziqian & Tang, Ning",Application of Digital Twin in the Security Protection of the Internet of Things in Power System,,1563,,,218--229,2022,,,,Big Data and Security,,,,"Tian, Yuan; Ma, Tinghuai; Khan, Muhammad Khurram; Sheng, Victor S. & Pan, Zhaoqing",,,,,,,,,,,,
Journal Article,,Chhetri2018,"Chhetri, Sujit Rokka; Faezi, Sina; Rashid, Nafiul & Al Faruque, Mohammad Abdullah",Manufacturing Supply Chain and Product Lifecycle Security in the Era of Industry 4.0,Journal of Hardware and Systems Security,2,1,,51--68,2018,,,,,,,,,,,,,,,,"The next generation of smart manufacturing systems will incorporate various recent enabling technologies. These technologies will aid in ushering the era of the fourth industrial revolution. They will make the supply chain and the product lifecycle of the manufacturing system efficient, decentralized, and well-connected. However, these technologies have various security issues and, when integrated in the supply chain and the product lifecycle of manufacturing systems, can pose various challenges for maintaining the security requirements such as confidentiality, integrity, and availability. In this paper, we will present the various trends and advances in the security of the supply chain and product lifecycle of the manufacturing system while highlighting the roles played by the major enabling components of Industry 4.0.",,,data/pdfs/Chhetri2018 - Manufacturing Supply Chain and Product Lifecycle Security in the Era of Industry 4.0.pdf,
Conference Proceedings,,Choi2020,"Choi, Taejun; Bai, Guangdong; Ko, Ryan K.  L.; Dong, Naipeng; Zhang, Wenlu & Wang, Shunyao",An Analytics Framework for Heuristic Inference Attacks against Industrial Control Systems,,,,,827--835,2020,,,,"2020 IEEE 19th International Conference on Trust, Security and Privacy in Computing and Communications (TrustCom)",,,,,,,,,,,,,,,data/pdfs/Choi2020 - An Analytics Framework for Heuristic Inference Attacks against Industrial Control Systems.pdf,
Conference Proceedings,,Choi2021a,"Choi, Taejun; Ko, Ryan K.  L.; Saha, Tapan; Scarsbrook, Joshua; Koay, Abigail M. Y.; Wang, Shunyao; Zhang, Wenlu & Clair, Connor St",Plan2Defend: AI Planning for Cybersecurity in Smart Grids,,,,,1--5,2021,,,,2021 IEEE PES Innovative Smart Grid Technologies - Asia (ISGT Asia),,,,,,,,,,,,"AI Planning (or Automated Planning) is a sub-field within AI which has been applied to several information security sub-fields, particularly vulnerability detection and incident response. Compared to other AI techniques such as machine learning, AI planning has the advantage of requiring no data or datasets to train. Instead, an entity within a domain is modelled, describing the relevant features of an environment, the goals, constraints, and the actions available to the entity. This paper surveys the traditional field of automated planning and explores its application to the field of information security and in particular, automating cyber incident response. Relevant AI planning techniques are then applied to implement a prototype which demonstrates the feasibility of automating incident response, focusing on False Data Injection Attacks (FDIA) against smart grid as a use case. The effectiveness of this prototype is validated on a digital twin power delivery system at The University of Queensland Industry 4.0 Energy Testlab. The effectiveness of this prototype is quantitatively assessed with reference to best industry practice before discussing the strengths and weaknesses of adopting AI planning for incident response, and information security domains generally.",,Industries;Asia;Prototypes;Information security;Focusing;Machine learning;Planning;Smart grid security;energy grid security;critical infrastructure;Man-in-the-Middle attacks;False Data Injection attacks;automated planning;AI planning;PLC security;cyber-security;cyber resilience;Operational Technology (OT),,
Conference Proceedings,,Chukkapalli2021,"Chukkapalli, Sai Sree Laya; Aziz, Shaik Barakhat; Alotaibi, Nouran; Mittal, Sudip; Gupta, Maanak & Abdelsalam, Mahmoud",Ontology Driven Ai and Access Control Systems for Smart Fisheries,,,,,59–68,2021,,,,Proceedings of the 2021 ACM Workshop on Secure and Trustworthy Cyber-Physical Systems,,,SAT-CPS '21,,,,,,,,,"Increasing number of internet connected devices has paved a path for smarter ecosystems in various sectors such as agriculture, aquaculture, manufacturing, healthcare, etc. Especially, integrating technologies like big data, artificial intelligence (AI), blockchain, etc. with internet connected devices has increased efficiency and productivity. Therefore, fishery farmers have started adopting smart fisheries technologies to better manage their fish farms. Despite their technological advancements smart fisheries are exposed and vulnerable to cyber-attacks that would cause a negative impact on the ecosystem both physically and economically.Therefore in this paper, we present a smart fisheries ecosystem where the architecture describes various interactions that happen between internet connected devices. We develop a smart fisheries ontology based on the architecture and implement Attribute Based Access Control System (ABAC) where access to resources of smart fisheries is granted by evaluating the requests. We also discuss how access control decisions are made in multiple use case scenarios of a smart fisheries ecosystem. Furthermore, we elaborate on some AI applications that would enhance the smart fisheries ecosystem.",,"smart fisheries, ontology, cybersecurity, artificial intelligence, access control",data/pdfs/Chukkapalli2021 - Ontology Driven Ai and Access Control Systems for Smart Fisheries.pdf,
Conference Proceedings,,Chukkapalli2021a,"Chukkapalli, Sai Sree Laya; Pillai, Nisha; Mittal, Sudip & Joshi, Anupam",Cyber-physical System Security Surveillance Using Knowledge Graph Based Digital Twins - a Smart Farming Usecase,,,,,1--6,2021,,,,2021 IEEE International Conference on Intelligence and Security Informatics (ISI),,,,,,,,,,,,"Rapid advancements in Cyber-Physical System (CPS) capabilities have motivated farmers to deploy this ecosystem on their farms. However, there is a growing concern among users regarding the security risks associated with CPS. Especially with rising number of cyber-attacks on CPS, such as modifying sensor readings, interrupting operations, etc. Therefore, this paper describes a security surveillance framework to detect deviations in the ecosystem by incorporating a digital twin supported anomaly detection model. The reason for incorporating digital twins is that they add value by enabling real-time monitoring of connected smart farms. We pre-process the collected data from sensors deployed on the smart farm setup. The pre-processed data is fused with our smart farm ontology to populate a knowledge graph. The generated graph is further queried to extract the necessary sensor data. We utilize the extracted normal data to train the anomaly detection model. Further, we tested our model if it identifies abnormal values from sensors by simulating anomalous use case scenarios specific to our ecosystem.",,Digital twin;Surveillance;Ecosystems;Ontologies;Real-time systems;Data models;Security;Security Surveillance;Cyber-Physical System;Digital Twins;Knowledge Graphs;Artificial Intelligence,data/pdfs/Chukkapalli2021a - Cyber Physical System Security Surveillance Using Knowledge Graph Based Digital Twins a Smart Farming Usecase.pdf,
Misc,,Cioara2021,"Cioara, Tudor; Anghel, Ionut; Antal, Marcel; Salomie, Ioan; Antal, Claudia & Gabriel Ioan, Arcas",An Overview of Digital Twins Application Domains in Smart Energy Grid,arXiv preprint arXiv:2104.07904,,,,,2021,,,,,,,,,,,,,,,,,,,data/pdfs/Cioara2021 - An Overview of Digital Twins Application Domains in Smart Energy Grid.pdf,
